;orgao;ano;dotacao_atual_total;pago_total;dotacao_atual_invest;pago_invest
1;20000 - Presidência da República;2000;1520867097;486218147;978435068;59830125
2;20000 - Presidência da República;2001;2192974729;805246544;1376962755;201401558
3;20000 - Presidência da República;2002;2211227130;838878311;1254777449;111030791
4;20000 - Presidência da República;2003;2851600354;1634784738;157207854;49057455
5;20000 - Presidência da República;2004;1403700353;1057889252;136576458;46607338
6;20000 - Presidência da República;2005;1989928006;1389464515;156233201;46185538
7;20000 - Presidência da República;2006;2034254444;1539666515;122619354;43843492
8;20000 - Presidência da República;2007;3124034400;1870432636;563753539;111269694
9;20000 - Presidência da República;2008;4770861174;2605262103;1515779372;249987430
10;20000 - Presidência da República;2009;6108741550;3335598891;1795182744;366317112
11;20000 - Presidência da República;2010;6283721332;3538304873;1613675437;341895512
12;20000 - Presidência da República;2011;5673252353;3397112079;1027177461;128677776
13;20000 - Presidência da República;2012;6903958967;3641340445;1146805555;112621090
14;20000 - Presidência da República;2013;2305247958;1557860703;129311340;13034154
15;20000 - Presidência da República;2014;2202537812;1728149346;100702250;15787695
16;20000 - Presidência da República;2015;2509946649;1738938332;82487650;5977127
17;20000 - Presidência da República;2016;2567420208;1910504844;40302899;12838096
18;20000 - Presidência da República;2017;6944147530;4642029571;605163745;56967053
19;20000 - Presidência da República;2018;8242857622;4947141003;1442719178;213971903
20;20000 - Presidência da República;2019;2401790772;1755913696;66755533;8456965
21;20000 - Presidência da República;2020;2361960063;1756157388;109724409;7376422
22;20102 - Gabinete da Vice-Presidência da República;2000;3212689;3013712;71000;53676
23;20102 - Gabinete da Vice-Presidência da República;2001;5104281;3225501;101000;49585
24;20102 - Gabinete da Vice-Presidência da República;2002;4653439;4039461;355000;144543
25;20102 - Gabinete da Vice-Presidência da República;2003;4581769;3774621;210000;11727
26;20102 - Gabinete da Vice-Presidência da República;2004;5253179;4767384;110000;107477
27;20102 - Gabinete da Vice-Presidência da República;2005;4855330;4235892;2,00E+05;6845
28;20102 - Gabinete da Vice-Presidência da República;2006;5243472;4995656;737;470
29;20102 - Gabinete da Vice-Presidência da República;2007;5393837;5276375;103737;75068
30;20102 - Gabinete da Vice-Presidência da República;2008;6596021;6394427;12000;9583
31;20102 - Gabinete da Vice-Presidência da República;2009;6642977;5666945;3,00E+05;5793
32;20102 - Gabinete da Vice-Presidência da República;2010;7658235;6231162;3,00E+05;76174
33;20102 - Gabinete da Vice-Presidência da República;2011;7729679;6853598;3,00E+05;88169
34;20102 - Gabinete da Vice-Presidência da República;2012;9203831;7390782;680000;141174
35;20102 - Gabinete da Vice-Presidência da República;2013;NA;NA;NA;NA
36;20102 - Gabinete da Vice-Presidência da República;2014;NA;NA;NA;NA
37;20102 - Gabinete da Vice-Presidência da República;2015;NA;NA;NA;NA
38;20102 - Gabinete da Vice-Presidência da República;2016;NA;NA;NA;NA
39;20102 - Gabinete da Vice-Presidência da República;2017;NA;NA;NA;NA
40;20102 - Gabinete da Vice-Presidência da República;2018;NA;NA;NA;NA
41;20102 - Gabinete da Vice-Presidência da República;2019;NA;NA;NA;NA
42;20102 - Gabinete da Vice-Presidência da República;2020;NA;NA;NA;NA
43;20114 - Advocacia-Geral da União;2000;92451682;71077032;5987605;4119171
44;20114 - Advocacia-Geral da União;2001;125041086;111052389;8499046;4720284
45;20114 - Advocacia-Geral da União;2002;155876388;142112813;3660070;879018
46;20114 - Advocacia-Geral da União;2003;246222205;211675714;6921442;2081548
47;20114 - Advocacia-Geral da União;2004;855679261;796558509;14598576;1205468
48;20114 - Advocacia-Geral da União;2005;1055289590;833935654;9218666;1417384
49;20114 - Advocacia-Geral da União;2006;1141135024;1093274239;20776690;786108
50;20114 - Advocacia-Geral da União;2007;1458331144;1383444871;18197408;2991998
51;20114 - Advocacia-Geral da União;2008;1959309763;1828037271;77662580;2158961
52;20114 - Advocacia-Geral da União;2009;2189399726;2072387449;24538735;5681682
53;20114 - Advocacia-Geral da União;2010;2369824157;2282570545;32202223;11078475
54;20114 - Advocacia-Geral da União;2011;2442749174;2365751164;12936400;1176992
55;20114 - Advocacia-Geral da União;2012;2507641864;2401286209;18135165;798596
56;20114 - Advocacia-Geral da União;2013;NA;NA;NA;NA
57;20114 - Advocacia-Geral da União;2014;NA;NA;NA;NA
58;20114 - Advocacia-Geral da União;2015;NA;NA;NA;NA
59;20114 - Advocacia-Geral da União;2016;NA;NA;NA;NA
60;20114 - Advocacia-Geral da União;2017;NA;NA;NA;NA
61;20114 - Advocacia-Geral da União;2018;NA;NA;NA;NA
62;20114 - Advocacia-Geral da União;2019;NA;NA;NA;NA
63;20114 - Advocacia-Geral da União;2020;NA;NA;NA;NA
64;22000 - Ministério da Agricultura, Pecuária e Abastecimento;2000;4731585950;3498998548;281832803;40253730
65;22000 - Ministério da Agricultura, Pecuária e Abastecimento;2001;6276027766;3426813052;379486903;64673468
66;22000 - Ministério da Agricultura, Pecuária e Abastecimento;2002;5486246009;3717093229;299769698;55430148
67;22000 - Ministério da Agricultura, Pecuária e Abastecimento;2003;5948894225;4123318755;195748295;16076567
68;22000 - Ministério da Agricultura, Pecuária e Abastecimento;2004;7049187846;3085177051;201993657;47231993
69;22000 - Ministério da Agricultura, Pecuária e Abastecimento;2005;5582580465;3878427210;370532107;57919089
70;22000 - Ministério da Agricultura, Pecuária e Abastecimento;2006;6065988895;4082531281;454106532;53484623
71;22000 - Ministério da Agricultura, Pecuária e Abastecimento;2007;6717882091;4094502490;622126494;73405408
72;22000 - Ministério da Agricultura, Pecuária e Abastecimento;2008;7496345576;4469247432;853835132;93863354
73;22000 - Ministério da Agricultura, Pecuária e Abastecimento;2009;9728452727;7474908729;1122352052;123468750
74;22000 - Ministério da Agricultura, Pecuária e Abastecimento;2010;9693984451;6508908905;1508666639;95205903
75;22000 - Ministério da Agricultura, Pecuária e Abastecimento;2011;10106845138;6695877476;1197393293;94097919
76;22000 - Ministério da Agricultura, Pecuária e Abastecimento;2012;11342500657;6707478227;1906649282;67245945
77;22000 - Ministério da Agricultura, Pecuária e Abastecimento;2013;11639957791;7244009634;1571279804;39296731
78;22000 - Ministério da Agricultura, Pecuária e Abastecimento;2014;11470023474;7652170803;1394648698;114615590
79;22000 - Ministério da Agricultura, Pecuária e Abastecimento;2015;12489910095;7970717552;1530230382;22968801
80;22000 - Ministério da Agricultura, Pecuária e Abastecimento;2016;12813238300;8845330281;876561969;115090076
81;22000 - Ministério da Agricultura, Pecuária e Abastecimento;2017;12416655581;9534358802;1080309183;52473376
82;22000 - Ministério da Agricultura, Pecuária e Abastecimento;2018;12172996402;8827544279;1218035443;106022543
83;22000 - Ministério da Agricultura, Pecuária e Abastecimento;2019;17837634971;12904693589;1752931340;35199184
84;22000 - Ministério da Agricultura, Pecuária e Abastecimento;2020;17292155290;12494196554;1745421797;40029557
85;24000 - Ministério da Ciência, Tecnologia e Inovações;2000;1753427206;1368484274;308054060;115502474
86;24000 - Ministério da Ciência, Tecnologia e Inovações;2001;2336241256;1696512005;482859270;150997009
87;24000 - Ministério da Ciência, Tecnologia e Inovações;2002;2535262055;1696209394;314895952;34581327
88;24000 - Ministério da Ciência, Tecnologia e Inovações;2003;3117626328;2023109287;194086343;62937969
89;24000 - Ministério da Ciência, Tecnologia e Inovações;2004;3553370902;2349174699;217394234;143717988
90;24000 - Ministério da Ciência, Tecnologia e Inovações;2005;4527964970;2615350095;627227606;204562649
91;24000 - Ministério da Ciência, Tecnologia e Inovações;2006;4689355549;2716622410;982915587;422197588
92;24000 - Ministério da Ciência, Tecnologia e Inovações;2007;4912984408;2998049007;982076988;414124302
93;24000 - Ministério da Ciência, Tecnologia e Inovações;2008;5741092280;3555895836;1075847513;410025569
94;24000 - Ministério da Ciência, Tecnologia e Inovações;2009;5874850485;3998376065;1123310203;431844828
95;24000 - Ministério da Ciência, Tecnologia e Inovações;2010;7098369476;4669017800;1581430870;502840897
