nome_org_original;org_limpo;id_org_unica;estr_intl;ano
Ministério da Ação Social;Ministério da Ação Social;697;0;1990
Ministério da Agricultura e Reforma Agrária;Ministério da Agricultura, Pecuária e Abastecimento;421;0;1990
Ministério da Educação;Ministério da Educação;426;0;1990
Secretaria de Assuntos Estratégicos da Presidência da República;Secretaria de Assuntos Estratégicos;551;1;1990
Secretaria da Ciência e Tecnologia da Presidência da República;Secretaria de Ciência e Tecnologia da Presidência;553;0;1990
Secretaria dos Desportos da Presidência da República;Secretaria de Desportos da Presidência;707;0;1990
Secretaria do Meio Ambiente da Presidência da República;Secretaria de Meio Ambiente da Presidência;555;1;1990
Secretaria da Administração Federal da Presidência da República;;;0;1990
Ministério da Economia, Fazenda e Planejamento;Ministério da Economia, Fazenda e Planejamento;699;1;1991
Ministério da Infra-Estrutura;Ministério da Infra-Estrutura;700;0;1991
Ministério da Justiça;Ministério da Justiça;429;0;1991
Ministério da Saúde;Ministério da Saúde;432;0;1991
Ministério do Trabalho e da Previdência Social ;Ministério do Trabalho e Emprego;445;0;1991
Secretaria do Desenvolvimento Regional da Presidência da República;Secretaria de Desenvolvimento Regional da Presidência;706;0;1991
Ministério da Previdência Social;Ministério da Previdência Social;431;0;1992
Ministério de Minas e Energia ;Ministério de Minas e Energia;436;0;1992
Ministério do Trabalho e da Administração;Ministério do Trabalho e Emprego;445;0;1992
Ministério dos Transportes e das Comunicações;Ministério dos Transportes;447;0;1992
Casa Civil da Presidência da República;Casa Civil da Presidência da República;106;0;1993
Casa Militar da Presidência da República;Gabinete de Segurança Institucional da Presidência;304;0;1993
Ministério da Justiça;Ministério da Justiça;429;0;1993
Ministério de Minas e Energia ;Ministério de Minas e Energia;436;0;1993
Secretaria de Assuntos Estratégicos da Presidência da República;Secretaria de Assuntos Estratégicos;551;0;1993
Secretaria-Geral da Presidência da República;Secretaria Geral da Presidência da República;563;1;1993
Assessoria de Comunicação Institucional da Presidência da República;;;0;1993
Ministério do Meio Ambiente e Amazônia Legal;Ministério do Meio Ambiente;442;1;1994
Ministério da Ciência e Tecnologia;Ministério da Ciência e Tecnologia;422;1;1995
Ministério da Cultura;Ministério da Cultura;423;1;1995
