"ano";"id_org_unica";"dotacao_atual_total";"pago_total";"dotacao_atual_invest";"pago_invest";"servidores_superior";"servidores_naosup";"forca_trabalho";"org_limpo"
2000;27;92451682;71077032;5987605;4119171;NA;NA;2615;"AGU - Advocacia Geral da União"
2000;176;0;0;0;0;NA;NA;NA;"Controladoria Geral da União"
2000;421;4731585950;3498998548;281832803;40253730;5724;10974;10696;"Ministério da Agricultura, Pecuária e Abastecimento"
2000;422;1972380592;1509021404;341202787;130041942;1554;2165;6893;"Ministério da Ciência e Tecnologia"
2000;423;325449005;225411232;65698096;26804478;145;214;2539;"Ministério da Cultura"
2000;424;21731141998;19642033993;1841407638;1230127230;5665;25526;31004;"Ministério da Defesa"
2000;425;13204117394;5342128170;113118600;30548407;41848;59745;NA;"Ministério da Economia"
2000;426;14359294228;11541552456;1107120168;312975460;77187;77835;165595;"Ministério da Educação"
2000;429;3420887639;2877614720;667364857;379156640;7184;14399;21197;"Ministério da Justiça"
2000;430;0;0;0;0;NA;NA;NA;"Ministério da Pesca e Aquicultura"
2000;431;75552882847;74270255428;93046373;39712198;434;673;40664;"Ministério da Previdência Social"
2000;432;23544545044;20840655477;1686298951;202780679;38767;71394;102480;"Ministério da Saúde"
2000;433;5198575153;4015414327;1617168656;723910874;998;2006;NA;"Ministério das Cidades"
2000;434;870019447;643166115;82832731;7352169;256;469;1525;"Ministério das Comunicações"
2000;435;814814123;830179797;16759729;10825246;1968;1162;2993;"Ministério das Relações Exteriores"
2000;436;753366100;485156504;63386795;7818980;1120;1030;1936;"Ministério de Minas e Energia"
2000;437;1848231746;1029138002;274640901;77119519;70;56;5713;"Ministério do Desenvolvimento Agrário"
2000;438;0;0;0;0;21;20;NA;"Ministério do Desenvolvimento Social e Combate à Fome"
2000;439;1053050906;319946968;136880720;17432420;NA;NA;2260;"Ministério do Desenvolvimento, Indústria e Comércio Exterior"
2000;440;515449597;230217891;326281112;88189346;65;68;325;"Ministério do Esporte"
2000;442;893418000;575009695;200919070;83366815;2231;3608;5644;"Ministério do Meio Ambiente"
2000;444;1655914296;1381872941;45789647;22107179;2593;2821;13868;"Ministério do Planejamento, Orçamento e Gestão"
2000;445;10425294687;9677040852;63600505;27296973;4378;3260;7787;"Ministério do Trabalho e Emprego"
2000;446;0;0;0;0;1171;1322;NA;"Ministério do Turismo"
2000;523;1520867097;486218147;978435068;59830125;3752;5895;3318;"Presidência da República"
2000;551;0;0;0;0;NA;NA;NA;"Secretaria de Assuntos Estratégicos"
2000;552;0;0;0;0;NA;NA;NA;"Secretaria de Aviação Civil"
2000;557;0;0;0;0;NA;NA;NA;"Secretaria de Políticas de Promoção da Igualdade Racial"
2000;561;0;0;0;0;NA;NA;NA;"Secretaria Especial de Direitos Humanos"
2000;562;0;0;0;0;NA;NA;NA;"Secretaria Especial de Políticas para as Mulheres"
2000;564;0;0;0;0;NA;NA;NA;"Secretaria Nacional de Portos"
2000;658;3212689;3013712;71000;53676;NA;NA;NA;"Vice-Presidência da República"
2000;700;8135633921;3643141445;4293262799;1473053487;1745;3269;NA;"Ministério da Infra-Estrutura"
2000;750;0;0;0;0;NA;NA;NA;"Ministério da Mulher, da Família e dos Direitos Humanos"
2000;751;0;0;0;0;NA;NA;NA;"Secretaria Especial da Micro e Pequena Empresa"
2000;752;0;0;0;0;NA;NA;NA;"Ministério da Segurança Pública"
2001;27;125041086;111052389;8499046;4720284;NA;NA;3161;"AGU - Advocacia Geral da União"
2001;176;0;0;0;0;NA;NA;NA;"Controladoria Geral da União"
2001;421;6276027766;3426813052;379486903;64673468;6263;10880;11164;"Ministério da Agricultura, Pecuária e Abastecimento"
2001;422;2577331118;1885725035;525787480;175750455;3250;615;6750;"Ministério da Ciência e Tecnologia"
2001;423;365588537;238860722;68421060;20243158;150;208;2508;"Ministério da Cultura"
2001;424;25485700435;23961184115;1930521338;1164584761;8802;21184;29782;"Ministério da Defesa"
2001;425;12587058960;5952385458;168375373;48680042;52525;48433;NA;"Ministério da Economia"
2001;426;16760032191;13234679547;1468831890;508581754;92980;60010;163479;"Ministério da Educação"
2001;429;3720323616;3082749026;845657777;603555319;7422;13695;20685;"Ministério da Justiça"
2001;430;0;0;0;0;NA;NA;NA;"Ministério da Pesca e Aquicultura"
2001;431;86777469658;85754729000;175750318;23655361;481;626;40121;"Ministério da Previdência Social"
2001;432;27211001298;23235189033;2961380874;381356013;42658;65630;104948;"Ministério da Saúde"
2001;433;6956364492;4228380754;2254631909;579713142;946;1712;NA;"Ministério das Cidades"
2001;434;2331369733;764813228;1008090784;18072661;259;410;1644;"Ministério das Comunicações"
2001;435;1007040716;1003157126;17264894;10309121;2044;1034;2943;"Ministério das Relações Exteriores"
2001;436;1284219250;733318953;141609773;10606837;1136;1000;1902;"Ministério de Minas e Energia"
2001;437;2002849043;1219580909;382192200;47396295;95;65;5703;"Ministério do Desenvolvimento Agrário"
2001;438;0;0;0;0;20;14;NA;"Ministério do Desenvolvimento Social e Combate à Fome"
2001;439;1246706448;621586369;195026726;32822166;NA;NA;2436;"Ministério do Desenvolvimento, Indústria e Comércio Exterior"
2001;440;833593457;225425787;559096669;56450263;93;136;402;"Ministério do Esporte"
2001;442;1248137268;793321523;264155268;110481659;2491;3967;6409;"Ministério do Meio Ambiente"
