BEP_orgao;org_limpo;id_org_limpo
AdvocaciaGeral da União;AGU - Advocacia Geral da União;27
Ministério da Agricultura, Pec. e do Abastecimento;Ministério da Agricultura, Pecuária e Abastecimento;421
Ministério da Ciência, Tecnologia, Inovação e Comunicações;Ministério da Ciência e Tecnologia;422
Ministério da Cultura;Ministério da Cultura;423
Ministério da Defesa;Ministério da Defesa;424
Ministério da Educação;Ministério da Educação;426
Ministério da Fazenda;Ministério da Fazenda;427
Ministério da Integração  Nacional;Ministério da Integração Nacional;428
Ministério da Justiça;Ministério da Justiça;429
Ministério da Pesca e Aquicultura;Ministério da Pesca e Aquicultura;430
Ministério da Previdência Social;Ministério da Previdência Social;431
Ministério da Saúde;Ministério da Saúde;432
Ministério das Cidades;Ministério das Cidades;433
Ministério das Comunicações;Ministério das Comunicações;434
Ministério das Relações Exteriores;Ministério das Relações Exteriores;435
Ministério de Minas e Energia;Ministério de Minas e Energia;436
Ministério do Desenv. Social e Combate à Fome;Ministério do Desenvolvimento Social e Combate à Fome;438
Ministério do Desenv., Ind. e Comércio Exterior;Ministério do Desenvolvimento, Indústria e Comércio Exterior;439
Ministério do Desenvolvimento Agrário;Ministério do Desenvolvimento Agrário;437
Ministério do Esporte;Ministério do Esporte;440
Ministério do Meio Ambiente;Ministério do Meio Ambiente;442
Ministério do Planejamento, Orçamento e Gestão;Ministério do Planejamento, Orçamento e Gestão;444
Ministério do Trabalho e Emprego;Ministério do Trabalho e Emprego;445
Ministério dos Transportes;Ministério do Meio Ambiente;442
Ministérios do Turismo;Ministério do Turismo;446
Presidência da República;Presidência da República;523
