PEP_orgao_superior;org_limpo;id_org_limpo
Controladoria-Geral Da Uniao;Controladoria Geral da União;176
Min. Da Mulher, Familia E Dir. Humanos;Ministério da Mulher, da Família e dos Direitos Humanos;750
Minist. Da Justica E Seguranca Publica;Ministério da Justiça;429
Minist.Da Adm.Federal E Ref. Do Estado;Ministério do Planejamento, Orçamento e Gestão;444
Minist.Da Agricultura,Pecuaria E Abast.;Ministério da Agricultura, Pecuária e Abastecimento;421
Ministerio Ciencia Tec.Inov.Comunicacoes;Ministério da Ciência e Tecnologia;422
Ministerio Da Cidadania;Ministério do Desenvolvimento Social e Combate à Fome;438
Ministerio Da Cultura;Ministério da Cultura;423
Ministerio Da Defesa;Ministério da Defesa;424
Ministerio Da Economia;Ministério da Economia;425
Ministerio Da Educacao;Ministério da Educação;426
Ministerio Da Infraestrutura;Ministério da Infra-Estrutura;700
Ministerio Da Previdencia Social;Ministério da Previdência Social;431
Ministerio Da Saude;Ministério da Saúde;432
Ministerio Das Cidades;Ministério das Cidades;433
Ministerio Das Comunicacoes;Ministério das Comunicações;434
Ministerio Das Relacoes Exteriores;Ministério das Relações Exteriores;435
Ministerio De Minas E Energia;Ministério de Minas e Energia;436
Ministerio De Pesca E Aquicultura;Ministério da Pesca e Aquicultura;430
Ministerio Do Desenvolvimento Agrario;Ministério do Desenvolvimento Agrário;437
Ministerio Do Desenvolvimento Regional;Ministério da Integração Nacional;428
Ministerio Do Esporte;Ministério do Esporte;440
Ministerio Do Meio Ambiente;Ministério do Meio Ambiente;442
Ministerio Do Planej. Desenv. E Gestao;Ministério do Planejamento, Orçamento e Gestão;444
Ministerio Do Trabalho E Emprego;Ministério do Trabalho e Emprego;445
Ministerio Do Turismo;Ministério do Turismo;446
Ministerio Ind. Com. Exterior E Serviços;Ministério do Desenvolvimento, Indústria e Comércio Exterior;439
Presidencia Da Republica;Presidência da República;523
