nome_org_original;org_limpo;id_org_unica;criaçao;extinçao;antecessor;sucessor
Advocacia Geral da União;AGU - Advocacia Geral da União;27;1993;;;
Controladoria Geral da União;Controladoria Geral da União;176;2001;2017;;
Ministério da Transparência e Controladoria-Geral da União;Controladoria Geral da União;176;2017;2019;;
Controladoria Geral da União;Controladoria Geral da União;176;2019;;;
Ministério da Ação Social;Ministério da Ação Social;697;1990;1992;;
Ministério do Bem-Estar Social;Ministério da Ação Social;697;1992;1998;;
Ministério da Aeronáutica;Ministério da Aeronáutica;698;1941;1999;;
Ministério da Agricultura;Ministério da Agricultura, Pecuária e Abastecimento;421;1930;1990;;
Ministério da Agricultura e Reforma Agrária;Ministério da Agricultura, Pecuária e Abastecimento;421;1990;1992;;
Ministério da Agricultura, do Abastecimento e da Reforma Agrária;Ministério da Agricultura, Pecuária e Abastecimento;421;1992;1998;;
Ministério da Agricultura e do Abastecimento;Ministério da Agricultura, Pecuária e Abastecimento;421;1998;2001;;
Ministério da Agricultura, Pecuária e Abastecimento;Ministério da Agricultura, Pecuária e Abastecimento;421;2001;;;
Ministério da Ciência e Tecnologia;Ministério da Ciência e Tecnologia;422;1985;1989;;
Secretaria da Ciência e Tecnologia;Ministério da Ciência e Tecnologia;422;1990;1992;;
Ministério da Ciência e Tecnologia;Ministério da Ciência e Tecnologia;422;1992;2011;;
Ministério da Ciência, Tecnologia e Inovação;Ministério da Ciência e Tecnologia;422;2011;2016;;
Ministério da Ciência, Tecnologia, Inovações e Comunicações;Ministério da Ciência e Tecnologia;422;2016;2020;;
Ministério da Ciência, Tecnologia e Inovações;Ministério da Ciência e Tecnologia;422;2020;;;
Ministério da Cultura;Ministério da Cultura;423;1985;1990;;
Ministério da Cultura;Ministério da Cultura;423;1992;2016;;
Ministério da Cultura;Ministério da Cultura;423;2016;2019;;
Ministério da Defesa;Ministério da Defesa;424;1999;;;
Ministério da Economia;Ministério da Economia;425;2019;;;
Ministério da Economia, Fazenda e Planejamento;Ministério da Economia, Fazenda e Planejamento;699;1990;1992;;
Ministério da Educação e Cultura;Ministério da Educação;426;1953;1985;;
Ministério da Educação;Ministério da Educação;426;1985;1992;;
Ministério da Educação e do Desporto;Ministério da Educação;426;1992;1999;;
Ministério da Educação;Ministério da Educação;426;1999;;;
Ministério da Fazenda;Ministério da Fazenda;427;1891;1990;;
Ministério da Fazenda;Ministério da Fazenda;427;1992;2019;;
Ministério da Infraestrutura;Ministério da Infraestrutura;753;2019;;;
Ministério da Infra-Estrutura;Ministério da Infra-Estrutura;700;1990;1992;;
Ministério da Integração Nacional;Ministério da Integração Nacional;428;1999;2019;;
Ministério do Desenvolvimento Regional;Ministério da Integração Nacional;428;2019;;;
Ministério da Justiça e Negócios Interiores;Ministério da Justiça;429;1891;1967;;
Ministério da Justiça;Ministério da Justiça;429;1967;2016;;
Ministério da Justiça e Cidadania;Ministério da Justiça;429;2016;2017;;
Ministério da Justiça e Segurança Pública;Ministério da Justiça;429;2017;2018;;
Ministério da Justiça;Ministério da Justiça;429;2018;2019;;
Ministério da Justiça e Segurança Pública;Ministério da Justiça;429;2019;;;
Ministério da Marinha;Ministério da Marinha;701;1891;1999;;
Ministério das Mulheres, da Igualdade Racial, da Juventude e dos Direitos Humanos;Ministério da Mulher, da Família e dos Direitos Humanos;750;2016;2019;;
Ministério da Mulher, da Família e dos Direitos Humanos;Ministério da Mulher, da Família e dos Direitos Humanos;750;2019;;;
Ministério da Pesca e Aquicultura;Ministério da Pesca e Aquicultura;430;2009;2016;;
Ministério da Previdência e Assistência Social;Ministério da Previdência Social;431;1974;1990;;
Ministério da Previdência Social;Ministério da Previdência Social;431;1992;1995;;
Ministério da Previdência e Assistência Social;Ministério da Previdência Social;431;1995;2003;;
