org_limpo;id_org_unica
AGU - Advocacia Geral da União;27
Casa Civil da Presidência da República;106
Controladoria Geral da União;176
Gabinete de Segurança Institucional da Presidência;304
Ministério da Ação Social;697
Ministério da Aeronáutica;698
Ministério da Agricultura, Pecuária e Abastecimento;421
Ministério da Ciência e Tecnologia;422
Ministério da Cultura;423
Ministério da Defesa;424
Ministério da Economia;425
Ministério da Economia, Fazenda e Planejamento;699
Ministério da Educação;426
Ministério da Fazenda;427
Ministério da Infraestrutura;753
Ministério da Infra-Estrutura;700
Ministério da Integração Nacional;428
Ministério da Justiça;429
Ministério da Marinha;701
Ministério da Mulher, da Família e dos Direitos Humanos;750
Ministério da Pesca e Aquicultura;430
Ministério da Previdência Social;431
Ministério da Saúde;432
Ministério da Segurança Pública;752
Ministério das Cidades;433
Ministério das Comunicações;434
Ministério das Relações Exteriores;435
Ministério de Minas e Energia;436
Ministério do Desenvolvimento Agrário;437
Ministério do Desenvolvimento Social e Combate à Fome;438
Ministério do Desenvolvimento Urbano e Meio Ambiente;754
Ministério do Desenvolvimento, Indústria e Comércio Exterior;439
Ministério do Esporte;440
Ministério do Exército;702
Ministério do Interior;441
Ministério do Meio Ambiente;442
Ministério do Planejamento, Desenvolvimento e Gestão;443
Ministério do Planejamento, Orçamento e Gestão;444
Ministério do Trabalho e Emprego;445
Ministério do Turismo;446
Ministério dos Transportes;447
Ministério Extraordinário de Política Fundiária;448
Núcleo de Assuntos Estratégicos da Presidência;500
Presidência da República;523
Secretaria de Assuntos Estratégicos;551
Secretaria de Aviação Civil;552
Secretaria de Ciência e Tecnologia da Presidência;553
Secretaria de Comunicação Social da Presidência;554
Secretaria de Cultura da Presidência;705
Secretaria de Desenvolvimento Regional da Presidência;706
Secretaria de Desportos da Presidência;707
Secretaria de Governo da Presidência;708
Secretaria de Meio Ambiente da Presidência;555
Secretaria de Planejamento da Presidência da República;556
Secretaria de Políticas de Promoção da Igualdade Racial;557
Secretaria de Relações Institucionais;558
Secretaria Especial da Micro e Pequena Empresa;751
Secretaria Especial de Aquicultura e Pesca;560
Secretaria Especial de Direitos Humanos;561
Secretaria Especial de Políticas para as Mulheres;562
Secretaria Geral da Presidência da República;563
Secretaria Nacional de Portos;564
Vice-Presidência da República;658
