"";"ano";"orgao_superior";"servidores_superior";"servidores_naosup"
"1";"1999";"Conselho Nac.De Desen.Cien.E Tecnologico";589;1202
"2";"1999";"Instituto Fed. Do Norte De Minas Gerais";33;193
"3";"1999";"Instituto Fed.Do Sudeste De Minas Gerais";84;216
"4";"1999";"Instituto Federal Baiano";74;228
"5";"1999";"Instituto Federal Catarinense";91;215
"6";"1999";"Instituto Federal Da Paraiba";282;419
"7";"1999";"Instituto Federal De Alagoas";246;473
"8";"1999";"Instituto Federal De Mato Grosso";157;431
"9";"1999";"Instituto Federal De Minas Gerais";118;430
"10";"1999";"Instituto Federal De Pernambuco";470;813
"11";"1999";"Instituto Federal De Rondonia";14;87
"12";"1999";"Instituto Federal De Sergipe";172;330
"13";"1999";"Instituto Federal Do Amazonas";223;403
"14";"1999";"Instituto Federal Do Ceara";282;516
"15";"1999";"Instituto Federal Do Espirito Santo";296;643
"16";"1999";"Instituto Federal Do Maranhao";219;464
"17";"1999";"Instituto Federal Do Para";267;444
"18";"1999";"Instituto Federal Do Rio Grande Do Sul";66;168
"19";"1999";"Instituto Federal Do Sul De Minas Gerais";86;264
"20";"1999";"Instituto Federal Do Tocantins";4;96
"21";"1999";"Instituto Federal Do Triangulo Mineiro";64;205
"22";"1999";"Instituto Federal Farroupilha";44;151
"23";"1999";"Instituto Federal Fluminense";192;481
"24";"1999";"Instituto Federal Goiano";93;268
"25";"1999";"Minist. Da Justica E Seguranca Publica";7536;15912
"26";"1999";"Minist.Da Adm.Federal E Ref. Do Estado";13;12
"27";"1999";"Minist.Da Agricultura,Pecuaria E Abast.";5830;11109
"28";"1999";"Ministerio Ciencia Tec.Inov.Comunicacoes";1602;2285
"29";"1999";"Ministerio Da Cidadania";24;17
"30";"1999";"Ministerio Da Cultura";158;219
"31";"1999";"Ministerio Da Defesa";5862;26353
"32";"1999";"Ministerio Da Economia";42083;61745
"33";"1999";"Ministerio Da Educacao";75279;79696
"34";"1999";"Ministerio Da Infraestrutura";1586;3115
"35";"1999";"Ministerio Da Previdencia Social";534;809
"36";"1999";"Ministerio Da Saude";39640;72534
"37";"1999";"Ministerio Das Comunicacoes";355;739
"38";"1999";"Ministerio Das Relacoes Exteriores";1991;1203
"39";"1999";"Ministerio De Minas E Energia";1092;1004
"40";"1999";"Ministerio Do Desenvolvimento Regional";1022;2028
"41";"1999";"Ministerio Do Esporte";88;116
"42";"1999";"Ministerio Do Meio Ambiente";2155;3762
"43";"1999";"Ministerio Do Planej. Desenv. E Gestao";1970;1913
"44";"1999";"Ministerio Do Trabalho E Emprego";4452;3242
"45";"1999";"Ministerio Do Turismo";1202;1323
"46";"1999";"Ministerio Ind. Com. Exterior E Serviços";399;361
"47";"1999";"Presidencia Da Republica";2695;4388
"48";"2000";"Conselho Nac.De Desen.Cien.E Tecnologico";142;548
"49";"2000";"Instituto Fed. Do Norte De Minas Gerais";36;191
"50";"2000";"Instituto Fed.Do Sudeste De Minas Gerais";81;216
"51";"2000";"Instituto Federal Baiano";71;230
"52";"2000";"Instituto Federal Catarinense";92;204
"53";"2000";"Instituto Federal Da Paraiba";297;420
"54";"2000";"Instituto Federal De Alagoas";262;480
"55";"2000";"Instituto Federal De Mato Grosso";157;426
"56";"2000";"Instituto Federal De Minas Gerais";128;424
"57";"2000";"Instituto Federal De Pernambuco";457;806
"58";"2000";"Instituto Federal De Rondonia";11;91
"59";"2000";"Instituto Federal De Sergipe";164;326
"60";"2000";"Instituto Federal Do Amazonas";228;403
"61";"2000";"Instituto Federal Do Ceara";295;522
"62";"2000";"Instituto Federal Do Espirito Santo";299;646
"63";"2000";"Instituto Federal Do Maranhao";233;446
"64";"2000";"Instituto Federal Do Para";268;444
"65";"2000";"Instituto Federal Do Rio Grande Do Sul";65;162
"66";"2000";"Instituto Federal Do Sul De Minas Gerais";112;290
"67";"2000";"Instituto Federal Do Tocantins";8;93
"68";"2000";"Instituto Federal Do Triangulo Mineiro";69;199
"69";"2000";"Instituto Federal Farroupilha";51;146
"70";"2000";"Instituto Federal Fluminense";202;468
"71";"2000";"Instituto Federal Goiano";91;259
"72";"2000";"Minist. Da Justica E Seguranca Publica";7184;14399
"73";"2000";"Minist.Da Adm.Federal E Ref. Do Estado";1;1
"74";"2000";"Minist.Da Agricultura,Pecuaria E Abast.";5724;10974
"75";"2000";"Ministerio Ciencia Tec.Inov.Comunicacoes";1554;2165
"76";"2000";"Ministerio Da Cidadania";21;20
"77";"2000";"Ministerio Da Cultura";145;214
"78";"2000";"Ministerio Da Defesa";5665;25526
"79";"2000";"Ministerio Da Economia";41848;59745
"80";"2000";"Ministerio Da Educacao";77187;77835
