id_org_ano;id_org_unica;ano;org_limpo;part_count;part_binaria;existencia;dotacao_atual_total;pago_total;dotacao_atual_invest;pago_invest;servidores_superior;servidores_naosup;forca_trabalho_bep
1997435;435;1997;Ministério das Relações Exteriores;10;1;1;NA;NA;NA;NA;NA;NA;3099
1998435;435;1998;Ministério das Relações Exteriores;29;1;1;NA;NA;NA;NA;NA;NA;3140
1999435;435;1999;Ministério das Relações Exteriores;20;1;1;NA;NA;NA;NA;1991;1203;3051
2000435;435;2000;Ministério das Relações Exteriores;25;1;1;814814123;830179797;16759729;10825246;1968;1162;2993
2001435;435;2001;Ministério das Relações Exteriores;24;1;1;1007040716;1003157126;17264894;10309121;2044;1034;2943
2002435;435;2002;Ministério das Relações Exteriores;52;1;1;1278837222;1426925908;12605000;15632209;2082;1049;2998
2003435;435;2003;Ministério das Relações Exteriores;8;1;1;1333866967;1252837526;12776090;8734581;2038;1010;2917
2004435;435;2004;Ministério das Relações Exteriores;29;1;1;1853305765;1370666711;39665186;27616551;2114;982;2962
2005435;435;2005;Ministério das Relações Exteriores;17;1;1;1842500688;1525761381;68151689;62921888;2303;1014;3173
2006435;435;2006;Ministério das Relações Exteriores;23;1;1;1642401788;1501281648;39506376;21944256;2349;994;3214
2007435;435;2007;Ministério das Relações Exteriores;51;1;1;1966881218;1620953822;27159236;21832925;2479;965;3335
2008435;435;2008;Ministério das Relações Exteriores;29;1;1;1889502508;2049145090;38569180;40606430;2585;986;3467
2009435;435;2009;Ministério das Relações Exteriores;55;1;1;2096962945;1735373197;54415987;41182360;2766;962;3619
2010435;435;2010;Ministério das Relações Exteriores;94;1;1;2454875566;2089697232;8,10E+11;36474174;2856;940;3727
2011435;435;2011;Ministério das Relações Exteriores;47;1;1;2520589665;2155615828;60315000;28705204;2842;902;3670
2012435;435;2012;Ministério das Relações Exteriores;116;1;1;2649969128;2484578709;102461500;43604419;2831;869;3619
2013435;435;2013;Ministério das Relações Exteriores;54;1;1;2619444587;2494945961;33944500;16648753;2785;832;3528
2014435;435;2014;Ministério das Relações Exteriores;50;1;1;2680771277;2669999494;32121266;26471477;2770;799;3451
2015435;435;2015;Ministério das Relações Exteriores;63;1;1;3375592276;3397099674;69494042;18588495;2707;752;3353
2016435;435;2016;Ministério das Relações Exteriores;46;1;1;3558524635;2974176983;52934401;20156945;2697;718;3321
2017435;435;2017;Ministério das Relações Exteriores;42;1;1;3196688847;3110151196;47700711;23406368;2696;663;NA
2018435;435;2018;Ministério das Relações Exteriores;39;1;1;3678850884;3481107440;76910125;45765601;2685;635;NA
2019435;435;2019;Ministério das Relações Exteriores;58;1;1;3994449554;3586822883;67467000;39596758;2620;553;NA
1997421;421;1997;Ministério da Agricultura, Pecuária e Abastecimento;0;0;1;NA;NA;NA;NA;NA;NA;11703
1998421;421;1998;Ministério da Agricultura, Pecuária e Abastecimento;2;1;1;NA;NA;NA;NA;NA;NA;11151
1999421;421;1999;Ministério da Agricultura, Pecuária e Abastecimento;2;1;1;NA;NA;NA;NA;5830;11109;10771
2000421;421;2000;Ministério da Agricultura, Pecuária e Abastecimento;2;1;1;4731585950;3498998548;281832803;40253730;5724;10974;10696
2001421;421;2001;Ministério da Agricultura, Pecuária e Abastecimento;3;1;1;6276027766;3426813052;379486903;64673468;6263;10880;11164
2002421;421;2002;Ministério da Agricultura, Pecuária e Abastecimento;2;1;1;5486246009;3717093229;299769698;55430148;6827;10387;11415
2003421;421;2003;Ministério da Agricultura, Pecuária e Abastecimento;2;1;1;5948894225;4123318755;195748295;16076567;6411;9959;10973
2004421;421;2004;Ministério da Agricultura, Pecuária e Abastecimento;3;1;1;7049187846;3085177051;201993657;47231993;7038;9956;11373
