"ano";"id_org_unica";"org_limpo";"dotacao_atual_total";"pago_total";"dotacao_atual_invest";"pago_invest";"servidores_superior";"servidores_naosup";"pep_servidores";"forca_trabalho";"id_org_ano";"existencia";"estr_intl"
1997;27;"AGU - Advocacia Geral da União";NA;NA;NA;NA;NA;NA;NA;16;"199727";1;NA
1998;27;"AGU - Advocacia Geral da União";NA;NA;NA;NA;NA;NA;NA;2068;"199827";1;NA
1999;27;"AGU - Advocacia Geral da União";NA;NA;NA;NA;NA;NA;NA;2196;"199927";1;NA
2000;27;"AGU - Advocacia Geral da União";92451682;71077032;5987605;4119171;NA;NA;NA;2615;"200027";1;NA
2001;27;"AGU - Advocacia Geral da União";125041086;111052389;8499046;4720284;NA;NA;NA;3161;"200127";1;NA
2002;27;"AGU - Advocacia Geral da União";155876388;142112813;3660070;879018;NA;NA;NA;1683;"200227";1;NA
2003;27;"AGU - Advocacia Geral da União";246222205;211675714;6921442;2081548;NA;NA;NA;3804;"200327";1;NA
2004;27;"AGU - Advocacia Geral da União";855679261;796558509;14598576;1205468;NA;NA;NA;7382;"200427";1;NA
2005;27;"AGU - Advocacia Geral da União";1055289590;833935654;9218666;1417384;NA;NA;NA;7766;"200527";1;NA
2006;27;"AGU - Advocacia Geral da União";1141135024;1093274239;20776690;786108;NA;NA;NA;8249;"200627";1;NA
2007;27;"AGU - Advocacia Geral da União";1458331144;1383444871;18197408;2991998;NA;NA;NA;8900;"200727";1;NA
2008;27;"AGU - Advocacia Geral da União";1959309763;1828037271;77662580;2158961;NA;NA;NA;8977;"200827";1;NA
2009;27;"AGU - Advocacia Geral da União";2189399726;2072387449;24538735;5681682;NA;NA;NA;9111;"200927";1;NA
2010;27;"AGU - Advocacia Geral da União";2369824157;2282570545;32202223;11078475;NA;NA;NA;7351;"201027";1;1
2011;27;"AGU - Advocacia Geral da União";2442749174;2365751164;12936400;1176992;NA;NA;NA;7621;"201127";1;1
2012;27;"AGU - Advocacia Geral da União";2509071197;2401286209;19564498;798596;NA;NA;NA;7487;"201227";1;1
2013;27;"AGU - Advocacia Geral da União";2675202667;2562817187;5725600;1052660;NA;NA;NA;7435;"201327";1;1
2014;27;"AGU - Advocacia Geral da União";2870599245;2735599399;31600000;6556551;NA;NA;NA;9197;"201427";1;1
2015;27;"AGU - Advocacia Geral da União";3250639541;3049862399;72375680;458891;NA;NA;NA;NA;"201527";1;1
2016;27;"AGU - Advocacia Geral da União";3438675497;3330347653;10048329;273470;NA;NA;NA;NA;"201627";1;1
2017;27;"AGU - Advocacia Geral da União";3637802055;3503471125;23921897;690526;NA;NA;NA;NA;"201727";1;1
2018;27;"AGU - Advocacia Geral da União";3930824888;3497391752;21662069;1334246;NA;NA;NA;NA;"201827";1;1
2019;27;"AGU - Advocacia Geral da União";4066944825;3600634505;16821797;442511;NA;NA;NA;NA;"201927";1;1
2020;27;"AGU - Advocacia Geral da União";4075577557;3655138507;20754634;127484;NA;NA;NA;NA;"202027";1;1
2000;176;"Controladoria Geral da União";NA;NA;NA;NA;NA;NA;NA;NA;"2000176";0;NA
2001;176;"Controladoria Geral da União";NA;NA;NA;NA;NA;NA;NA;NA;"2001176";1;NA
2002;176;"Controladoria Geral da União";NA;NA;NA;NA;NA;NA;NA;NA;"2002176";1;0
2003;176;"Controladoria Geral da União";NA;NA;NA;NA;NA;NA;NA;NA;"2003176";1;0
2004;176;"Controladoria Geral da União";NA;NA;NA;NA;NA;NA;NA;NA;"2004176";1;0
2005;176;"Controladoria Geral da União";NA;NA;NA;NA;NA;NA;NA;NA;"2005176";1;0
2006;176;"Controladoria Geral da União";NA;NA;NA;NA;NA;NA;NA;NA;"2006176";1;1
2007;176;"Controladoria Geral da União";NA;NA;NA;NA;NA;NA;NA;NA;"2007176";1;1
2008;176;"Controladoria Geral da União";NA;NA;NA;NA;NA;NA;NA;NA;"2008176";1;1
2009;176;"Controladoria Geral da União";NA;NA;NA;NA;NA;NA;NA;NA;"2009176";1;1
2010;176;"Controladoria Geral da União";NA;NA;NA;NA;NA;NA;NA;NA;"2010176";1;1
2011;176;"Controladoria Geral da União";NA;NA;NA;NA;NA;NA;NA;NA;"2011176";1;1
2012;176;"Controladoria Geral da União";6999919;0;6999919;0;NA;NA;NA;NA;"2012176";1;1
2013;176;"Controladoria Geral da União";815962726;768466982;21576014;12499096;NA;NA;NA;NA;"2013176";1;1
2014;176;"Controladoria Geral da União";848787129;814493214;12983391;3294109;NA;NA;NA;NA;"2014176";1;1
2015;176;"Controladoria Geral da União";904573152;861686181;15653019;1965143;NA;NA;NA;NA;"2015176";1;1
2016;176;"Controladoria Geral da União";934831353;891469655;16847496;3109760;NA;NA;NA;NA;"2016176";1;1
2017;176;"Controladoria Geral da União";1023771647;966258197;11084782;2966852;2084;267;3221;NA;"2017176";1;1
2018;176;"Controladoria Geral da União";1082654205;954904898;14000725;5253477;2061;240;3241;NA;"2018176";1;1
2019;176;"Controladoria Geral da União";1142790180;1006400325;21167516;4180395;2037;217;3257;NA;"2019176";1;1
2020;176;"Controladoria Geral da União";1149166257;1034224350;19709525;3346831;2017;216;3269;NA;"2020176";1;1
1997;421;"Ministério da Agricultura, Pecuária e Abastecimento";NA;NA;NA;NA;NA;NA;NA;11703;"1997421";1;1
1998;421;"Ministério da Agricultura, Pecuária e Abastecimento";NA;NA;NA;NA;NA;NA;NA;11151;"1998421";1;1
1999;421;"Ministério da Agricultura, Pecuária e Abastecimento";NA;NA;NA;NA;5830;11109;47643;10771;"1999421";1;1
2000;421;"Ministério da Agricultura, Pecuária e Abastecimento";4731585950;3498998548;281832803;40253730;5724;10974;47274;10696;"2000421";1;1
2001;421;"Ministério da Agricultura, Pecuária e Abastecimento";6276027766;3426813052;379486903;64673468;6263;10880;47478;11164;"2001421";1;1
2002;421;"Ministério da Agricultura, Pecuária e Abastecimento";5486246009;3717093229;299769698;55430148;6827;10387;47288;11415;"2002421";1;1
2003;421;"Ministério da Agricultura, Pecuária e Abastecimento";5948894225;4123318755;195748295;16076567;6411;9959;46440;10973;"2003421";1;1
2004;421;"Ministério da Agricultura, Pecuária e Abastecimento";7049187846;3085177051;201993657;47231993;7038;9956;46904;11373;"2004421";1;1
2005;421;"Ministério da Agricultura, Pecuária e Abastecimento";5582580465;3878427210;370532107;57919089;7370;10079;47087;11742;"2005421";1;1
2006;421;"Ministério da Agricultura, Pecuária e Abastecimento";6065988895;4082531281;454106532;53484623;8021;9961;47298;11409;"2006421";1;1
2007;421;"Ministério da Agricultura, Pecuária e Abastecimento";6717882091;4094502490;622126494;73405408;8413;9737;47155;11551;"2007421";1;1
2008;421;"Ministério da Agricultura, Pecuária e Abastecimento";7496345576;4469247432;853835132;93863354;8785;9567;47100;11588;"2008421";1;1
2009;421;"Ministério da Agricultura, Pecuária e Abastecimento";9728452727;7474908729;1122352052;123468750;8995;9774;46948;12119;"2009421";1;1
2010;421;"Ministério da Agricultura, Pecuária e Abastecimento";9693984451;6508908905;1508666639;95205903;8671;9440;46356;11696;"2010421";1;1
2011;421;"Ministério da Agricultura, Pecuária e Abastecimento";10106845138;6695877476;1197393293;94097919;8526;9077;45819;11357;"2011421";1;1
2012;421;"Ministério da Agricultura, Pecuária e Abastecimento";11342500657;6707478227;1906649282;67245945;8598;8761;45421;11314;"2012421";1;1
2013;421;"Ministério da Agricultura, Pecuária e Abastecimento";11639957791;7244009634;1571279804;39296731;8436;8417;45008;10668;"2013421";1;1
2014;421;"Ministério da Agricultura, Pecuária e Abastecimento";11470023474;7652170803;1394648698;114615590;8610;8255;44931;11082;"2014421";1;1
2015;421;"Ministério da Agricultura, Pecuária e Abastecimento";12489910095;7970717552;1530230382;22968801;8412;7829;44191;10774;"2015421";1;1
2016;421;"Ministério da Agricultura, Pecuária e Abastecimento";12813238300;8845330281;876561969;115090076;8286;7572;43474;10620;"2016421";1;1
2017;421;"Ministério da Agricultura, Pecuária e Abastecimento";12416655581;9534358802;1080309183;52473376;7727;7117;42453;NA;"2017421";1;1
2018;421;"Ministério da Agricultura, Pecuária e Abastecimento";12172996402;8827544279;1218035443;106022543;7914;6564;42158;NA;"2018421";1;1
2019;421;"Ministério da Agricultura, Pecuária e Abastecimento";17837634971;12904693589;1752931340;35199184;7801;5105;42053;NA;"2019421";1;1
2020;421;"Ministério da Agricultura, Pecuária e Abastecimento";17292155290;12494196554;1745421797;40029557;7589;4561;41253;NA;"2020421";1;1
1997;422;"Ministério da Ciência e Tecnologia";NA;NA;NA;NA;NA;NA;NA;4571;"1997422";1;1
1998;422;"Ministério da Ciência e Tecnologia";NA;NA;NA;NA;NA;NA;NA;4355;"1998422";1;1
1999;422;"Ministério da Ciência e Tecnologia";NA;NA;NA;NA;1602;2285;7727;6875;"1999422";1;1
2000;422;"Ministério da Ciência e Tecnologia";1972380592;1509021404;341202787;130041942;1554;2165;5956;6893;"2000422";1;1
2001;422;"Ministério da Ciência e Tecnologia";2577331118;1885725035;525787480;175750455;3250;615;6098;6750;"2001422";1;1
2002;422;"Ministério da Ciência e Tecnologia";2835306953;1921084468;373207428;56180153;3430;639;6365;7051;"2002422";1;1
2003;422;"Ministério da Ciência e Tecnologia";3452912670;2282857147;240426180;87388640;3164;816;6316;6972;"2003422";1;1
2004;422;"Ministério da Ciência e Tecnologia";3948294428;2621053730;266063109;169637927;3091;797;6300;7152;"2004422";1;1
2005;422;"Ministério da Ciência e Tecnologia";5120710200;2996453695;702457282;240252330;3305;1025;6762;7243;"2005422";1;1
2006;422;"Ministério da Ciência e Tecnologia";5179659053;3129951031;1058175657;466096793;3217;1024;6687;7111;"2006422";1;1
2007;422;"Ministério da Ciência e Tecnologia";5447498470;3362895825;1049285619;436393454;3320;934;6689;6959;"2007422";1;1
2008;422;"Ministério da Ciência e Tecnologia";6407399232;4025762578;1175965749;449316535;3244;902;6574;6806;"2008422";1;1
2009;422;"Ministério da Ciência e Tecnologia";6599147980;4529584810;1235347517;468930757;3250;957;6698;6931;"2009422";1;1
2010;422;"Ministério da Ciência e Tecnologia";7878187273;5309612078;1682883483;533385411;3294;950;6825;7192;"2010422";1;1
2011;422;"Ministério da Ciência e Tecnologia";7348653791;4578672358;1205872728;345112277;3252;899;6899;7043;"2011422";1;1
2012;422;"Ministério da Ciência e Tecnologia";9610419387;5313924147;2320596529;357943717;3163;871;6897;6889;"2012422";1;1
2013;422;"Ministério da Ciência e Tecnologia";10592709774;6332157415;1649042334;328792711;3090;847;6855;7258;"2013422";1;1
