"ano";"dotacao_atual_total";"pago_total";"dotacao_atual_invest";"pago_invest";"org_limpo";"id_org_limpo";"servidores_superior";"servidores_naosup";"forca_trabalho"
2000;1520867097;486218147;978435068;59830125;"Presidência da República";523;3752;5895;3318
2001;2192974729;805246544;1376962755;201401558;"Presidência da República";523;5960;4188;3284
2002;2211227130;838878311;1254777449;111030791;"Presidência da República";523;5610;3107;3147
2003;2851600354;1634784738;157207854;49057455;"Presidência da República";523;7105;4319;3744
2004;1403700353;1057889252;136576458;46607338;"Presidência da República";523;10792;4445;3767
2005;1989928006;1389464515;156233201;46185538;"Presidência da República";523;11499;4658;4222
2006;2034254444;1539666515;122619354;43843492;"Presidência da República";523;12459;4750;4875
2007;3124034400;1870432636;563753539;111269694;"Presidência da República";523;13207;4997;5697
2008;4770861174;2605262103;1515779372;249987430;"Presidência da República";523;14682;5511;7513
2009;6108741550;3335598891;1795182744;366317112;"Presidência da República";523;15090;5742;7917
2010;6283721332;3538304873;1613675437;341895512;"Presidência da República";523;15271;6024;7799
2011;5673252353;3397112079;1027177461;128677776;"Presidência da República";523;14649;5714;6873
2012;6903958967;3641340445;1146805555;112621090;"Presidência da República";523;14742;5551;8437
2013;2305247958;1557860703;129311340;13034154;"Presidência da República";523;15203;5593;9113
2014;2202537812;1728149346;100702250;15787695;"Presidência da República";523;15145;5613;9151
2015;2509946649;1738938332;82487650;5977127;"Presidência da República";523;15156;5499;18493
2016;2567420208;1910504844;40302899;12838096;"Presidência da República";523;15170;5529;17437
2017;6944147530;4642029571;605163745;56967053;"Presidência da República";523;13314;4970;NA
2018;8242857622;4947141003;1442719178;213971903;"Presidência da República";523;13896;5018;NA
2019;2401790772;1755913696;66755533;8456965;"Presidência da República";523;13183;4543;NA
2020;2361960063;1756157388;109724409;7376422;"Presidência da República";523;13148;4398;NA
2000;3212689;3013712;71000;53676;"Vice-Presidência da República";658;NA;NA;NA
2001;5104281;3225501;101000;49585;"Vice-Presidência da República";658;NA;NA;NA
2002;4653439;4039461;355000;144543;"Vice-Presidência da República";658;NA;NA;NA
2003;4581769;3774621;210000;11727;"Vice-Presidência da República";658;NA;NA;NA
2004;5253179;4767384;110000;107477;"Vice-Presidência da República";658;NA;NA;NA
2005;4855330;4235892;2e+07;6845;"Vice-Presidência da República";658;NA;NA;NA
2006;5243472;4995656;737;470;"Vice-Presidência da República";658;NA;NA;NA
2007;5393837;5276375;103737;75068;"Vice-Presidência da República";658;NA;NA;NA
2008;6596021;6394427;12000;9583;"Vice-Presidência da República";658;NA;NA;NA
2009;6642977;5666945;3e+07;5793;"Vice-Presidência da República";658;NA;NA;NA
