org_limpo;id_org_unica;tipo_org;tipo_org_reduzido
Ministério das Relações Exteriores;435;Ministério das Relações Exteriores;Governo federal MRE
Programa de Formação Complementar Delbrasgen;528;Ministério das Relações Exteriores;Governo federal MRE
ABDI - Agência Brasileira de Desenvolvimento Industrial;3;Administração federal direta (sem MRE) e autarquias;Governo federal não-MRE
ABIN - Agência Brasileira de Inteligência;8;Administração federal direta (sem MRE) e autarquias;Governo federal não-MRE
AEB - Agência Espacial Brasileira;23;Administração federal direta (sem MRE) e autarquias;Governo federal não-MRE
ANA - Agência Nacional de Águas;34;Administração federal direta (sem MRE) e autarquias;Governo federal não-MRE
ANAC - Agência Nacional de Aviação Civil;35;Administração federal direta (sem MRE) e autarquias;Governo federal não-MRE
ANATEL - Agência Nacional de Telecomunicações;37;Administração federal direta (sem MRE) e autarquias;Governo federal não-MRE
ANCINE - Agência Nacional do Cinema;38;Administração federal direta (sem MRE) e autarquias;Governo federal não-MRE
ANEEL - Agência Nacional de Energia Elétrica;40;Administração federal direta (sem MRE) e autarquias;Governo federal não-MRE
ANP - Agência Nacional do Petróleo;42;Administração federal direta (sem MRE) e autarquias;Governo federal não-MRE
ANS - Agência Nacional de Saúde Suplementar;44;Administração federal direta (sem MRE) e autarquias;Governo federal não-MRE
ANTAQ - Agência Nacional de Transportes Aquaviários;45;Administração federal direta (sem MRE) e autarquias;Governo federal não-MRE
ANTT - Agência Nacional de Transportes Terrestres;46;Administração federal direta (sem MRE) e autarquias;Governo federal não-MRE
ANVISA - Agência Nacional de Vigilância Sanitária;48;Administração federal direta (sem MRE) e autarquias;Governo federal não-MRE
APEX - Agência Brasileira de Promoção de Exportações e Investimentos;49;Administração federal direta (sem MRE) e autarquias;Governo federal não-MRE
Assessoria Especial da Presidência da República;60;Administração federal direta (sem MRE) e autarquias;Governo federal não-MRE
Banco Central do Brasil;69;Administração federal direta (sem MRE) e autarquias;Governo federal não-MRE
CADE - Conselho Administrativo de Defesa Econômica;97;Administração federal direta (sem MRE) e autarquias;Governo federal não-MRE
