"";"titulo";"nome";"desc";"cargo_deleg";"org";"org_detalhe";"cargo_org";"conf";"pais";"nline";"fonte";"id_org_dupla"
"1";"Mr.";"Luiz Gylvan Meira Filho";"President
Agência Espacial Brasileira";NA;"AEB";NA;"Presidente";"UNFCCC, INC11";"Brasil";1;"Lista ONU";3244
"2";"Sr";"Luis Cláudio Meirelles";"ANVISA";NA;"ANVISA";NA;NA;"POPS, COP02";"Brasil";9;"Resposta via LAI";3245
"3";"Hon.";"José Francisco Paes Landim";"Federal Deputy
Brazilian Congress";NA;"Câmara dos Deputados";NA;"Deputado federal";"ICCD, COP09";"Brasil";16;"Lista ONU";2799
"4";NA;"Beatriz de Bulhões Mossri";"Conselho Empresarial Brasileiro para o Desenvolvimento Sustentável";NA;"CEBDS";NA;NA;"CBD, COP06";"Brasil";10;"Telegrama via LAI";2203
"5";NA;"Joaquim Aparecido Machado";"Conselho Empresarial Brasileiro para o Desenvolvimento Sustentável";NA;"CEBDS";NA;NA;"CBD, COP06";"Brasil";11;"Telegrama via LAI";2203
"6";"Sra.";"Betina Ferraz Barbosa";"Consultora Técnica
Centro de Estudos Gastao Estrategica";NA;"CGEE - Centro de Gestão e Estudos Estratégicos";NA;"Consultora técnica";"ICCD, COP09";"Brasil";20;"Lista ONU";3246
"7";"Sr.";"Francisco Guedes Alcoforado Filho";"Presidente
Compañia de Desarrollo de los Valles de Sao Francisco";NA;"CODEVASF - Companhia de Desenvolvimento dos Vales do São Francisco e do Parnaíba";NA;"Presidente";"ICCD, COP06";"Brasil";8;"Lista ONU";3247
"8";"Captain";"J. V. Fernandes";"Alternate
Lloyd Brasileiro";"Alternate";"Companhia de Navegação Lloyd Brasileiro";NA;NA;"MARPOL, CONF";"Brasil";6;"Lista ONU";3248
"9";"Mr.";"Eugenio Conolly Peixoto";"International Relations Adviser
National Confederation of Agriculture Workers";NA;"CONTAG";"Assessoria de Assuntos Internacionais";"Assessor";"ICCD, COP04";"Brasil";10;"Lista ONU";3249
"10";"Captain";"A. P. Torres";"Alternate
Docenavo";"Alternate";"Docenave - Vale do Rio Doce Navegação S.A.";NA;NA;"MARPOL, CONF";"Brasil";7;"Lista ONU";3250
"11";"Doutora";"Rosa Miriam de Vasconcelos";"Advogada da Empresa Brasileira de Pesquisa Agropecuária - EMBRAPA";NA;"EMBRAPA";NA;"Advogada";"CBD, COP06";"Brasil";8;"Telegrama via LAI";1392
"12";"Mr.";"Luciano Accioly";"Embrapa Soils
Brazilian Agricultural Research Corporation";NA;"EMBRAPA";"Embrapa Solos";NA;"ICCD, COP09";"Brasil";17;"Lista ONU";3251
"13";"Ms.";"Alexandrina Saldanha Sobreira de Moura";"Secretária Adjunta
Ciência, Tecnologia e Meio Ambiente
Estado de Pernambuco";NA;"Estado de Pernambuco";"Secretaria da Ciência, Tecnologia e Meio Ambiente";"Secretária Adjunta";"ICCD, COP04";"Brasil";4;"Lista ONU";3252
"14";"Sr.";"Alexandrina Saldanha Sobreira de Moura";"Punto focal del Estado de Pernambuco";NA;"Estado de Pernambuco";NA;"Ponto focal";"ICCD, COP06";"Brasil";11;"Lista ONU";2768
"15";"Sr.";"Othelino Nova Alves Neto";"Punto Focal del Estado de Maranhao";NA;"Estado do Maranhão";NA;"Ponto focal";"ICCD, COP06";"Brasil";10;"Lista ONU";2766
"16";"Senhor";"Antonio Carlos do Prado";"Diretor de Florestas do Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis - IBAMA";NA;"IBAMA";"Diretoria de Florestas";"Diretor";"CBD, COP06";"Brasil";7;"Telegrama via LAI";3253
"17";"Mr.";"Luiz Novaís de Almeida";"Engineer
Rural Support and Cooperatives
Ministry of Agriculture and Supply";NA;"MAPA";"Apoio Rural e Cooperativas";"Engenheiro";"ICCD, COP04";"Brasil";9;"Lista ONU";3254
"18";"Commander";"R. M. Tinoco";"Alternate
Directorate of Ports and Coasts";"Alternate";"Marinha do Brasil";"Diretoria de Portos e Costas";NA;"MARPOL, CONF";"Brasil";3;"Lista ONU";3235
"19";NA;"Márcio Luiz Borges";"6490, Outros";NA;"Marinha Mercante";NA;NA;"IMO LEG, CONF01";"Brasil";NA;"Farias e Carmo";3255
"20";"Mr.";"Roberto Germano da Costa";"Director
National Institute of Semiarid
Ministry of Science and Technology";NA;"MCT";"Instituto Nacional do Semiárido";"Diretor";"ICCD, COP09";"Brasil";13;"Lista ONU";3256
"21";"Mr.";"Albericio Pereira de Andrade";"Ministry of Science and Technology";NA;"MCT";NA;NA;"ICCD, COP09";"Brasil";14;"Lista ONU";1726
"22";"Mr.";"Arnobio de Mendonça Barreto Cavalcante";"Scientist
National Institute of Semiarid
Ministry of Science and Technology";NA;"MCT";"Instituto Nacional do Semiárido";"Cientista";"ICCD, COP09";"Brasil";15;"Lista ONU";3256
"23";"Mr.";"José Domingos Miguez";"Ministry of Science and Technology";NA;"MCT";NA;NA;"UNFCCC, INC10";"Brasil";7;"Lista ONU";1726
"24";"Mr.";"José Domingos G. Miguez";"Assistant to Climate Change matters
Ministry of Science and Technology";NA;"MCT";"Assuntos de Mudança Climática";"Assistente";"UNFCCC, INC11";"Brasil";3;"Lista ONU";3257
"25";"Sra.";"Dorian Ponte Lima";"Gerente de la Secretaria de Infrastructura
Hidráulica
Ministerio del Integración Nacional";NA;"Ministério da Integração Nacional";"Secretaria de Infraestrutura Hídrica";"Gerente";"ICCD, COP06";"Brasil";12;"Lista ONU";3258
"26";NA;"Hélio Ramos de Azevedo";"6487, Militar";NA;"Ministério do Exército";NA;NA;"IMO LEG, CONF01";"Brasil";NA;"Farias e Carmo";2742
"27";NA;"Paulo Nogueira Neto";"9057, Outros";NA;"Ministério do Interior";"Secretaria de Meio Ambiente";NA;"UNEP GC 03";"Brasil";NA;"Farias e Carmo";3259
