org_sujo;org_detalhe_sujo;id_org_dupla;org_limpo;org_detalhe_limpo;id_org_unica
Associação Brasileira de Entidades Estaduais de Meio Ambiente;Secretaria de Meio Ambiente do Rio Grande do Sul;2900;ABEMA - Associação Brasileira de Entidades Estaduais de Meio Ambiente;NA;4
Associação Brasileira de Entidades Estaduais de Meio Ambiente;NA;2398;ABEMA - Associação Brasileira de Entidades Estaduais de Meio Ambiente;NA;4
Academia Brasileira de Ciências;NA;2932;Academia Brasileira de Ciências;NA;18
ANA - Agência Nacional de Águas;NA;2874;ANA - Agência Nacional de Águas;NA;34
Banco Mundial;"Diretoria-Executiva;Representação brasileira";2843;Banco Mundial;NA;74
BNDES;Gerência Executiva de Meio Ambiente;2897;BNDES – Banco Nacional de Desenvolvimento Econômico e Social;NA;86
Câmara dos Deputados;NA;2799;Câmara dos Deputados;NA;101
Câmara dos Deputados;Presidência da Câmara;2949;Câmara dos Deputados;NA;101
CEBDS - Conselho Empresarial Brasileiro para o Desenvolvimento Sustentável;NA;2914;CEBDS - Conselho Empresarial Brasileiro para o Desenvolvimento Sustentável;NA;118
CEMPRE - Compromisso Empresarial para Reciclagem;NA;2917;CEMPRE - Compromisso Empresarial para Reciclagem;NA;120
CNA - Confederação da Agricultura e da Pecuária do Brasil;NA;2850;CNA - Confederação Nacional da Agricultura e Pecuária;NA;135
CNA - Confederação da Agricultura e da Pecuária do Brasil;Comissão Nacional do Meio Ambiente;2922;CNA - Confederação Nacional da Agricultura e Pecuária;NA;135
CNA - Confederação da Agricultura e da Pecuária do Brasil;Departamento Econômico;2923;CNA - Confederação Nacional da Agricultura e Pecuária;NA;135
CNI - Confederação Nacional da Indústria;NA;2848;CNI - Confederação Nacional da Indústria;NA;138
CNI - Confederação Nacional da Indústria;Conselho de Meio Ambiente;2915;CNI - Confederação Nacional da Indústria;NA;138
CNI - Confederação Nacional da Indústria;Estudos e Desenvolvimento;2916;CNI - Confederação Nacional da Indústria;NA;138
CNPq - Conselho Nacional do Desenvolvimento Científico e Tecnológico;NA;2833;CNPq - Conselho Nacional de Desenvolvimento Científico e Tecnológico;NA;142
Conselho Federal de Engenharia, Arquitetura e Agronomia;NA;2943;CONFEA - Conselho Federal de Engenharia, Arquitetura e Agronomia;NA;162
CONTAG;NA;2046;CONTAG - Confederação Nacional dos Trabalhadores Rurais Agricultores e Agricultoras Familiares;NA;175
CUT - Central Única dos Trabalhadores;Secretaria de Relações Internacionais;2930;CUT - Central Única dos Trabalhadores;NA;188
CUT - Central Única dos Trabalhadores;NA;2931;CUT - Central Única dos Trabalhadores;NA;188
Distrito Federal;NA;2763;Distrito Federal;NA;198
Distrito Federal;Secretaria de Meio Ambiente e Recursos Hídricos;2909;Distrito Federal;NA;198
EMBRAPA - Empresa Brasileira de Pesquisa Agropecuária;NA;2836;EMBRAPA - Empresa Brasileira de Pesquisa Agropecuária;NA;214
EMBRATUR - Instituto Brasileiro do Turismo;NA;2839;EMBRATUR - Instituto Brasileiro de Turismo;NA;215
Estado da Bahia;NA;2764;Estado da Bahia;NA;222
Estado da Paraíba;NA;2775;Estado da Paraíba;NA;223
Estado da Paraíba;Secretaria de Justiça, Cidadania e Meio Ambiente;2793;Estado da Paraíba;NA;223
Estado de Alagoas;NA;1279;Estado de Alagoas;NA;224
Estado de Goiás;NA;2771;Estado de Goiás;NA;225
