org_sujo;org_detalhe_sujo;id_org_dupla;org_detalhe_limpo;org_limpo;id_org_unica
Abiquim (Brazilian Chemical Industry Association);NA;184;NA;ABIQUIM - Associação Brasileira da Indústria Química;11
Associação Brasileira de Produtores de Florestas Plantadas (ABRAF);NA;2810;NA;ABRAF - Associação Brasileira dos Produtores de Florestas Plantadas;16
ArborGen;NA;2798;NA;ArborGen;54
Biofílica Environmental Investments;NA;2158;NA;Biofílica Investimentos Ambientais;80
BNDES;NA;1730;NA;BNDES – Banco Nacional de Desenvolvimento Econômico e Social;86
Câmara dos Deputados;NA;2749;NA;Câmara dos Deputados;101
Câmara dos Deputados;Assessoria Jurídica;2846;NA;Câmara dos Deputados;101
Casa Civil;Assessoria Jurídica;2756;NA;Casa Civil da Presidência da República;106
CEBDS;NA;2203;NA;CEBDS - Conselho Empresarial Brasileiro para o Desenvolvimento Sustentável;118
CEBDS;Biodiversidade e Biotecnologia;2773;NA;CEBDS - Conselho Empresarial Brasileiro para o Desenvolvimento Sustentável;118
CNA;Sustentabilidade;2896;NA;CNA - Confederação Nacional da Agricultura e Pecuária;135
CNI;NA;1600;NA;CNI - Confederação Nacional da Indústria;138
CNI;Relações Institucionais;2885;NA;CNI - Confederação Nacional da Indústria;138
Laboratório Nacional de Ciência e Tecnologia do Bioetanol (CTBE);NA;2799;Laboratório Nacional de Ciência e Tecnologia do Bioetanol;CNPEM - Centro Nacional de Pesquisa em Energia e Materiais;141
CNPq;NA;2783;NA;CNPq - Conselho Nacional de Desenvolvimento Científico e Tecnológico;142
CNPq;Divisão de Ciências do Mar;2975;NA;CNPq - Conselho Nacional de Desenvolvimento Científico e Tecnológico;142
Coordenação das Organizações Indígenas da Amazônia Brasileira (COIAB);NA;2823;NA;COIAB - Coordenação das Organizações Indígenas da Amazônia Brasileira;146
Vale;NA;486;NA;Companhia Vale do Rio Doce;155
Instituto Tecnológico Vale;NA;2925;Instituto Tecnológico Vale;Companhia Vale do Rio Doce;155
CONTAG;NA;2046;NA;CONTAG - Confederação Nacional dos Trabalhadores Rurais Agricultores e Agricultoras Familiares;175
CUT;NA;1804;NA;CUT - Central Única dos Trabalhadores;188
Planeta Sustentável;NA;2279;NA;Editora Abril;209
EMBRAPA;National Research Center for Genetic Resources and Biotechnology;14;NA;EMBRAPA - Empresa Brasileira de Pesquisa Agropecuária;214
Embrapa;NA;256;NA;EMBRAPA - Empresa Brasileira de Pesquisa Agropecuária;214
EMBRAPA;NA;1392;NA;EMBRAPA - Empresa Brasileira de Pesquisa Agropecuária;214
EMBRAPA;Coordenação de Assuntos Regulatórios;2914;NA;EMBRAPA - Empresa Brasileira de Pesquisa Agropecuária;214
EMBRAPA;CENARGEN;2943;NA;EMBRAPA - Empresa Brasileira de Pesquisa Agropecuária;214
EMBRAPA;Departamento de Pesquisa e Desenvolvimento;2944;NA;EMBRAPA - Empresa Brasileira de Pesquisa Agropecuária;214
