org_sujo;org_detalhe_sujo;org_detalhe_limpo;org_limpo;id_org_unica;id_org_dupla
Abiquim (Brazilian Chemical Industry Association);NA;NA;ABIQUIM - Associação Brasileira da Indústria Química;11;184
Associação Brasileira de Produtores de Florestas Plantadas (ABRAF);NA;NA;ABRAF - Associação Brasileira dos Produtores de Florestas Plantadas;16;3035
ArborGen;NA;NA;ArborGen;54;3023
Biofílica Environmental Investments;NA;NA;Biofílica Investimentos Ambientais;80;2158
BNDES;NA;NA;BNDES – Banco Nacional de Desenvolvimento Econômico e Social;86;1730
Câmara dos Deputados;NA;NA;Câmara dos Deputados;101;2799
Câmara dos Deputados;Assessoria Jurídica;NA;Câmara dos Deputados;101;3069
Casa Civil;Assessoria Jurídica;NA;Casa Civil da Presidência da República;106;2986
CEBDS;NA;NA;CEBDS - Conselho Empresarial Brasileiro para o Desenvolvimento Sustentável;118;2203
CEBDS;Biodiversidade e Biotecnologia;NA;CEBDS - Conselho Empresarial Brasileiro para o Desenvolvimento Sustentável;118;3001
CNA;Sustentabilidade;NA;CNA - Confederação Nacional da Agricultura e Pecuária;135;3117
CNI;NA;NA;CNI - Confederação Nacional da Indústria;138;1600
CNI;Relações Institucionais;NA;CNI - Confederação Nacional da Indústria;138;3106
Laboratório Nacional de Ciência e Tecnologia do Bioetanol (CTBE);NA;Laboratório Nacional de Ciência e Tecnologia do Bioetanol;CNPEM - Centro Nacional de Pesquisa em Energia e Materiais;141;3024
CNPq;NA;NA;CNPq - Conselho Nacional de Desenvolvimento Científico e Tecnológico;142;3008
CNPq;Divisão de Ciências do Mar;NA;CNPq - Conselho Nacional de Desenvolvimento Científico e Tecnológico;142;3194
Coordenação das Organizações Indígenas da Amazônia Brasileira (COIAB);NA;NA;COIAB - Coordenação das Organizações Indígenas da Amazônia Brasileira;146;3048
Vale;NA;NA;Companhia Vale do Rio Doce;155;486
Instituto Tecnológico Vale;NA;Instituto Tecnológico Vale;Companhia Vale do Rio Doce;155;3144
CONTAG;NA;NA;CONTAG - Confederação Nacional dos Trabalhadores Rurais Agricultores e Agricultoras Familiares;175;2046
CUT;NA;NA;CUT - Central Única dos Trabalhadores;188;1804
Planeta Sustentável;NA;NA;Editora Abril;209;2279
EMBRAPA;National Research Center for Genetic Resources and Biotechnology;NA;EMBRAPA - Empresa Brasileira de Pesquisa Agropecuária;214;14
Embrapa;NA;NA;EMBRAPA - Empresa Brasileira de Pesquisa Agropecuária;214;256
EMBRAPA;NA;NA;EMBRAPA - Empresa Brasileira de Pesquisa Agropecuária;214;1392
EMBRAPA;Coordenação de Assuntos Regulatórios;NA;EMBRAPA - Empresa Brasileira de Pesquisa Agropecuária;214;3134
EMBRAPA;CENARGEN;NA;EMBRAPA - Empresa Brasileira de Pesquisa Agropecuária;214;3162
EMBRAPA;Departamento de Pesquisa e Desenvolvimento;NA;EMBRAPA - Empresa Brasileira de Pesquisa Agropecuária;214;3163
Estado de Goiás;Secretaria de Meio Ambiente;NA;Estado de Goiás;225;3059
Estado de Goiás;NA;NA;Estado de Goiás;225;2771
Estado de Goiás;"Superintendência de Meio Ambiente e Recursos Hídricos; Secretaria de Meio Ambiente, Recursos Hídricos, Infraestrutura, Cidades e Assuntos Metropolitanos";NA;Estado de Goiás;225;3103
Estado de Goiás;Secretaria de Meio Ambiente, Recursos Hídricos, Infraestrutura, Cidades e Assuntos Metropolitanos;NA;Estado de Goiás;225;3104
Fórum Mineiro de Mudança Climáticas;NA;NA;Estado de Minas Gerais;227;3029
Estado de São Paulo;Secretaria de Meio Ambiente;NA;Estado de São Paulo;232;2861
Governo do Estado de São Paulo;NA;NA;Estado de São Paulo;232;3014
