"org_sujo";"org_detalhe_sujo";"id_org_dupla";"org_detalhe_limpo";"org_limpo";"id_org_unica"
"Ministry of External Relations";"Consulate General of Brazil in Montreal";27;NA;"Ministério das Relações Exteriores";435
"MRE";"Divisão de Política Ambiental e Desenvolvimento Sustentável";3324;NA;"Ministério das Relações Exteriores";435
"MMA";"Secretaria de Qualidade Ambiental";3325;NA;"Ministério do Meio Ambiente";442
"MAPA";"Secretaria de Saúde Animal e Sanidade Vegetal";3326;NA;"Ministério da Agricultura, Pecuária e Abastecimento";421
"MRE";"Divisão de Clima e Ozônio";3327;NA;"Ministério das Relações Exteriores";435
"MMA";"Departamento de Mudanças Climáticas, Gerência de Proteção da Camada de Ozônio, Unidade Nacional de Ozônio";3328;NA;"Ministério do Meio Ambiente";442
"MMA";"Departamento de Mudanças Climáticas, Gerência de Proteção da Camada de Ozônio";3329;NA;"Ministério do Meio Ambiente";442
"IBAMA";"Diretoria de Qualidade Ambiental";3330;NA;"IBAMA - Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis";324
"High Consultative Council of Entrepreneurial Entities";NA;1383;NA;"Conselho Consultivo Superior das Entidades Empresariais";168
"Ministry for Environment";"Ozone Unit of the Secretariat of Environmental Quality for Human Settlements";1411;NA;"Ministério do Meio Ambiente";442
"MMA";NA;3260;NA;"Ministério do Meio Ambiente";442
"Ministério do Meio Ambiente";"Cabinet of Minister";1284;NA;"Ministério do Meio Ambiente";442
"Ministry of External Relations";"Division for the Environment";11;NA;"Ministério das Relações Exteriores";435
"Ministry of External Relations";"Embassy of Brazil to Beijing";1405;NA;"Ministério das Relações Exteriores";435
"Ministry of External Relations";"Department of Special Affairs, Division of Environment";3331;NA;"Ministério das Relações Exteriores";435
"Ministry of Science and Technology";"Secretariat for Scientific Policy";1408;NA;"Ministério da Ciência e Tecnologia";422
"MDIC";"Secretaria de Comércio Exterior";3332;NA;NA;NA
"MMA";"Programa de Qualidade Ambiental, Unidade de Ozônio";3333;NA;"Ministério do Meio Ambiente";442
