org_sujo;org_detalhe_sujo;id_org_dupla;org_limpo;org_detalhe_limpo;id_org_unica
1st Baptist Church of João Pessoa;NA;761;1ª Igreja Batista de João Pessoa;;1
ABEMC;NA;1929;ABEMC - Associação Brasileira das Empresas do Mercado de Carbono;;5
ABINEE;NA;1376;ABINEE - Associação Brasileira da Indústria Elétrica e Eletrônica;;9
ABIOVE;NA;1924;ABIOVE - Associação Brasileira das Indústrias de Óleos Vegetais;;10
Abiquim (Brazilian Chemical Industry Association);NA;184;ABIQUIM - Associação Brasileira da Indústria Química;;11
Abiquim (Brazilian Chemical Industry Association);Technical Department;193;ABIQUIM - Associação Brasileira da Indústria Química;;11
ABRAF;Carbon Project;2044;ABRAF - Associação Brasileira dos Produtores de Florestas Plantadas;;16
ABREA - Associação Brasileira dos Expostos ao Amianto;Technical Consultancy;210;ABREA - Associação Brasileira dos Expostos ao Amianto;;17
Abril Group;Sustainability;2277;Editora Abril;;209
Abril Group;Corporative Relations;2449;Editora Abril;;209
"Abril Publisher; Fundación Avina";NA;2440;Editora Abril;;209
Ação Educativa;NA;1165;Ação Educativa;;19
Action Aid;NA;1254;ActionAid;;21
ActionAid Brasil;Food Rights and Campaigns, Policy and Campaign;2078;ActionAid;;21
ActionAid International;Global Food Programme;2079;ActionAid;;21
ActionAid International - Brazil;NA;2155;ActionAid;;21
Açucareira Vale do Rosário;NA;1549;Açucareira Vale do Rosário;;22
Administrative Council of Economic Defense;NA;734;CADE - Conselho Administrativo de Defesa Econômica;;97
Advisory Office of the President of the Republic;NA;488;Assessoria Especial da Presidência da República;;60
AES Tietê;NA;1603;AES Tietê;;25
AES Tietê;Environment and Carbon Market;1689;AES Tietê;;25
Afroreggae;NA;886;Afroreggae;;26
AFSMPOA;Environment;2406;Instituto Amigos do Fórum Social Mundial/POA;;359
AGESAN;NA;1990;Estado de Santa Catarina;AGESAN - Agência Reguladora de Serviços de Saneamento Básico de Santa Catarina;231
AGESAN;Regulation and Supervision;2394;Estado de Santa Catarina;AGESAN - Agência Reguladora de Serviços de Saneamento Básico de Santa Catarina;231
Agricultural and Cattle Farming Confederation;International Relations;1151;CNA - Confederação Nacional da Agricultura e Pecuária;;135
Agriculture Workers Confederation;NA;1153;CONTAG - Confederação Nacional dos Trabalhadores Rurais Agricultores e Agricultoras Familiares;;175
Agriculture Workers Confederation;Legal Affairs;1257;CONTAG - Confederação Nacional dos Trabalhadores Rurais Agricultores e Agricultoras Familiares;;175
AIMEX;NA;259;AIMEX - Associação das Indústrias Exportadoras de Madeiras do Estado do Pará;;29
Akatu;NA;813;Instituto Akatu;;358
Amazon Environmental Research Institute;NA;2051;IPAM -  Instituto de Pesquisa Ambiental da Amazônia;;392
Amazon Environmental Research Institute;Climate Change Program;2052;IPAM -  Instituto de Pesquisa Ambiental da Amazônia;;392
Amazon Environmental Research Institute;Climate Change and Indigenous People;2327;IPAM -  Instituto de Pesquisa Ambiental da Amazônia;;392
Amazon Environmental Research Institute;Public Policies Program;2348;IPAM -  Instituto de Pesquisa Ambiental da Amazônia;;392
Amazon Environmental Research Institute;Public Policies for Forests, Agriculture and Climate;2423;IPAM -  Instituto de Pesquisa Ambiental da Amazônia;;392
Amazon Environmental Research Institute;Communication;2435;IPAM -  Instituto de Pesquisa Ambiental da Amazônia;;392
Amazon Institute for Environmental Research;NA;1878;IPAM -  Instituto de Pesquisa Ambiental da Amazônia;;392
Amazon National Research Institute;NA;397;INPA -  Instituto Nacional de Pesquisas da Amazônia;;351
Amazon Working Group;Amazon Working;2054;GTA - Grupo de Trabalho Amazônico;;317
Amazon Working Group;NA;2055;GTA - Grupo de Trabalho Amazônico;;317
Amazonian Working Group - GTA;NA;1596;GTA - Grupo de Trabalho Amazônico;;317
Amazonian Working Group - GTA;Presidency;2056;GTA - Grupo de Trabalho Amazônico;;317
Amigos da Terra - Amazônia Brasileira;NA;2105;Amigos da Terra;;33
Amigos da Terra (NGO);NA;1180;Amigos da Terra;;33
Andifes;NA;674;ANDIFES - Associação Nacional dos Dirigentes das Instituições Federais de Ensino Superior;;39
ANEEL;NA;1667;ANEEL - Agência Nacional de Energia Elétrica;;40
Anglo School;NA;2022;Colégio Anglo;;147
Anima Dialogue and Development;NA;2086;Anima Convivência Produtiva;;41
Anisio Teixeira Institute;NA;514;INEP - Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira;;346
Anisio Teixeira Institute;SEA;798;INEP - Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira;;346
ANPR - Appellate Federal Prosecutors;NA;1260;ANPR - Associação Nacional dos Procuradores da República;;43
ANVISA;Toxicological Analysis;187;ANVISA - Agência Nacional de Vigilância Sanitária;;48
ANVISA;Gerência Geral de Toxicologia;199;ANVISA - Agência Nacional de Vigilância Sanitária;;48
ANVISA;Toxicology Department;204;ANVISA - Agência Nacional de Vigilância Sanitária;;48
ANVISA;Toxicology;216;ANVISA - Agência Nacional de Vigilância Sanitária;;48
Anvisa;Assessoria Internacional;1355;ANVISA - Agência Nacional de Vigilância Sanitária;;48
ANVISA;Gerência Geral de Tecnologia em Serviços de Saúde;1361;ANVISA - Agência Nacional de Vigilância Sanitária;;48
Aracruz Celulose S.A.;Corporate Relations;1858;Aracruz Celulose S.A.;;53
Arborgen;Supervisor of Public and Government Affairs;151;ArborGen;;54
Arcelor Mittal;Belgo;1825;Arcelor Mittal;;55
Arcelor Mittal;Acesita;1826;Arcelor Mittal;;55
Arcelor Mittal;Tubarao;1827;Arcelor Mittal;;55
Archipelago Environmental Engineering;NA;1639;Archipelago Engenharia Ambiental;;56
"Architect and Urbanist; Politician";NA;864;Arquiteto;;58
Armando Álvares Penteado Fundation;NA;1843;FAAP - Fundação Armando Álvares Penteado;;252
Articulação dos Povos Indígenas do Brasil;NA;2320;APIB - Articulação dos Povos Indígenas do Brasil;;50
Asociación Nacional de Universidades Tecnológicas (ANUT);NA;1833;ANUT - Asociación Nacional de Universidades Tecnológicas;;47
Associação Brasileira das Indústrias Exportadoras de Carnes;NA;2037;ABIEC - Associação Brasileira das Indústrias Exportadoras de Carnes;;7
Associação Brasileira de Entidades Estaduais de Meio Ambiente;NA;2398;ABEMA - Associação Brasileira de Entidades Estaduais de Meio Ambiente;;4
Associação de Produtores de Soja de Mato Grosso (APROSOJA);NA;1792;APROSOJA/MT - Associação de Produtores de Soja de Mato Grosso;;52
Associacao de Protecao a Ecossistemas Costeiros;NA;1814;APREC - Associação de Proteção a Ecossistemas Costeiros;;51
Associação dos Criadores de Mato Grosso (ACRIMAT);NA;1793;ACRIMAT - Associação dos Criadores de Mato Grosso;;20
Associação dos Criadores de Mato-Grosso;NA;1962;ACRIMAT - Associação dos Criadores de Mato Grosso;;20
Association for the Protection of Coastal Ecosystems;NA;1752;APREC - Associação de Proteção a Ecossistemas Costeiros;;51
Association of Commerce of the State of Minas Gerais;NA;2042;Associação Comercial de Minas Gerais;;62
