"";"org_limpo";"id_org_unica";"tipo_org";"tipo_org_reduzido"
"1";"Ministério das Relações Exteriores";435;"Ministério das Relações Exteriores";"Governo federal MRE"
"2";"Programa de Formação Complementar Delbrasgen";528;"Ministério das Relações Exteriores";"Governo federal MRE"
"3";"ABDI - Agência Brasileira de Desenvolvimento Industrial";3;"Administração federal direta (sem MRE) e autarquias";"Governo federal não-MRE"
"4";"ABIN - Agência Brasileira de Inteligência";8;"Administração federal direta (sem MRE) e autarquias";"Governo federal não-MRE"
"5";"AEB - Agência Espacial Brasileira";23;"Administração federal direta (sem MRE) e autarquias";"Governo federal não-MRE"
"6";"ANA - Agência Nacional de Águas";34;"Administração federal direta (sem MRE) e autarquias";"Governo federal não-MRE"
"7";"ANAC - Agência Nacional de Aviação Civil";35;"Administração federal direta (sem MRE) e autarquias";"Governo federal não-MRE"
"8";"ANATEL - Agência Nacional de Telecomunicações";37;"Administração federal direta (sem MRE) e autarquias";"Governo federal não-MRE"
"9";"ANCINE - Agência Nacional do Cinema";38;"Administração federal direta (sem MRE) e autarquias";"Governo federal não-MRE"
"10";"ANEEL - Agência Nacional de Energia Elétrica";40;"Administração federal direta (sem MRE) e autarquias";"Governo federal não-MRE"
"11";"ANP - Agência Nacional do Petróleo";42;"Administração federal direta (sem MRE) e autarquias";"Governo federal não-MRE"
"12";"ANS - Agência Nacional de Saúde Suplementar";44;"Administração federal direta (sem MRE) e autarquias";"Governo federal não-MRE"
"13";"ANTAQ - Agência Nacional de Transportes Aquaviários";45;"Administração federal direta (sem MRE) e autarquias";"Governo federal não-MRE"
"14";"ANTT - Agência Nacional de Transportes Terrestres";46;"Administração federal direta (sem MRE) e autarquias";"Governo federal não-MRE"
"15";"ANVISA - Agência Nacional de Vigilância Sanitária";48;"Administração federal direta (sem MRE) e autarquias";"Governo federal não-MRE"
"16";"APEX - Agência Brasileira de Promoção de Exportações e Investimentos";49;"Administração federal direta (sem MRE) e autarquias";"Governo federal não-MRE"
"17";"Assessoria Especial da Presidência da República";60;"Administração federal direta (sem MRE) e autarquias";"Governo federal não-MRE"
"18";"Banco Central do Brasil";69;"Administração federal direta (sem MRE) e autarquias";"Governo federal não-MRE"
"19";"CADE - Conselho Administrativo de Defesa Econômica";97;"Administração federal direta (sem MRE) e autarquias";"Governo federal não-MRE"
"20";"CAPES - Coordenação de Aperfeiçoamento de Pessoal de Nível Superior";103;"Administração federal direta (sem MRE) e autarquias";"Governo federal não-MRE"
"21";"Casa Civil da Presidência da República";106;"Administração federal direta (sem MRE) e autarquias";"Governo federal não-MRE"
"22";"Casa da Moeda do Brasil";107;"Administração federal direta (sem MRE) e autarquias";"Governo federal não-MRE"
"23";"CCN";114;"Administração federal direta (sem MRE) e autarquias";"Governo federal não-MRE"
"24";"CIMGC - Comissão Interministerial de Mudança Global do Clima";131;"Administração federal direta (sem MRE) e autarquias";"Governo federal não-MRE"
"25";"CNEN - Comissão Nacional de Energia Nuclear";137;"Administração federal direta (sem MRE) e autarquias";"Governo federal não-MRE"
"26";"CNPE -  Conselho Nacional de Política Energética";140;"Administração federal direta (sem MRE) e autarquias";"Governo federal não-MRE"
"27";"CNPq - Conselho Nacional de Desenvolvimento Científico e Tecnológico";142;"Administração federal direta (sem MRE) e autarquias";"Governo federal não-MRE"
"28";"Comissão Nacional Rio+20";150;"Administração federal direta (sem MRE) e autarquias";"Governo federal não-MRE"
"29";"Comitê Gestor da Politica Nacional de Gestão Ambiental e Territorial de Terras Indígenas";152;"Administração federal direta (sem MRE) e autarquias";"Governo federal não-MRE"
"30";"Comitê Nacional de Organização Rio+20";154;"Administração federal direta (sem MRE) e autarquias";"Governo federal não-MRE"
"31";"CONANDA - Conselho Nacional dos Direitos da Criança e do Adolescente";159;"Administração federal direta (sem MRE) e autarquias";"Governo federal não-MRE"
"32";"CONDRAF - Conselho Nacional de Desenvolvimento Rural Sustentável";161;"Administração federal direta (sem MRE) e autarquias";"Governo federal não-MRE"
"33";"CONJUVE - Conselho Nacional de Juventude";165;"Administração federal direta (sem MRE) e autarquias";"Governo federal não-MRE"
"34";"CONSEA - Conselho Nacional de Segurança Alimentar e Nutricional";166;"Administração federal direta (sem MRE) e autarquias";"Governo federal não-MRE"
"35";"Conselho de Desenvolvimento Econômico e Social";169;"Administração federal direta (sem MRE) e autarquias";"Governo federal não-MRE"
"36";"Conselho Nacional de Educação";171;"Administração federal direta (sem MRE) e autarquias";"Governo federal não-MRE"
"37";"Controladoria Geral da União";176;"Administração federal direta (sem MRE) e autarquias";"Governo federal não-MRE"
"38";"Convênio PNUD/FAO/IBDF/BRA";177;"Administração federal direta (sem MRE) e autarquias";"Governo federal não-MRE"
"39";"CVM - Comissão de Valores Mobiliários";189;"Administração federal direta (sem MRE) e autarquias";"Governo federal não-MRE"
"40";"DENATRAN - Departamento Nacional de Trânsito";196;"Administração federal direta (sem MRE) e autarquias";"Governo federal não-MRE"
"41";"DNIT - Departamento Nacional de Infraestrutura de Transportes";199;"Administração federal direta (sem MRE) e autarquias";"Governo federal não-MRE"
"42";"DNOCS - Departamento Nacional de Obras Contra as Secas";200;"Administração federal direta (sem MRE) e autarquias";"Governo federal não-MRE"
"43";"DNPM - Departamento Nacional de Produção Mineral";201;"Administração federal direta (sem MRE) e autarquias";"Governo federal não-MRE"
