org_limpo;id_org_unica;tipo_org;tipo_org_reduzido
AJUFE - Associação dos Juízes Federais do Brasil;673;Judiciário, AGU, MP e respectivas associações de classe;Outro
Brasil Connects;674;Empresas, associações setoriais, federações ou confederações patronais;Setor empresarial
CGR - Consultoria-Geral da República;680;Judiciário, AGU, MP e respectivas associações de classe;Outro
CIRM - Comissão Interministerial para os Recursos do Mar;677;Administração federal direta (sem MRE) e autarquias;Governo federal não-MRE
CNC - Confederação Nacional de Comércio;679;Empresas, associações setoriais, federações ou confederações patronais;Setor empresarial
Comitê Brasileiro do Programa das Nações Unidas para Meio Ambiente;678;ONGs, Movimentos Sociais e outras associações da sociedade civil;Sociedade civil, sindicatos, movimentos sociais
CREA-PI;681;Profissionais liberais, escritórios e respectivos conselhos profissionais;Outro
DNEMET - Departamento Nacional de Meteorologia;682;Administração federal direta (sem MRE) e autarquias;Governo federal não-MRE
Ecco International;683;ONGs, Movimentos Sociais e outras associações da sociedade civil;Sociedade civil, sindicatos, movimentos sociais
Estado de Mato Grosso do Sul;685;Governos estaduais e municipais (inclusive legislativo, bancos e empresas públicas estaduais);Governos subnacionais (Executivo, Legislativo, Empresas Públicas ou Autarquias)
Estado de Sergipe;684;Governos estaduais e municipais (inclusive legislativo, bancos e empresas públicas estaduais);Governos subnacionais (Executivo, Legislativo, Empresas Públicas ou Autarquias)
Exército do Brasil;686;Forças Armadas;Governo federal não-MRE
FIESC - Federação das Indústrias do Estado de Santa Catarina;687;Empresas, associações setoriais, federações ou confederações patronais;Setor empresarial
FINDES - Federação das Indústrias do Estado do Espírito Santo;688;Empresas, associações setoriais, federações ou confederações patronais;Setor empresarial
Força Aérea Brasileira;689;Forças Armadas;Governo federal não-MRE
Fundação Dom Cabral;692;Universidades, institutos de educação, escolas e sociedades científicas;Órgãos de ensino e pesquisa
Fundação para o Desenvolvimento Sustentável do Araripe;691;ONGs, Movimentos Sociais e outras associações da sociedade civil;Sociedade civil, sindicatos, movimentos sociais
IBRAM - Instituto Brasileiro de Mineração;695;Empresas, associações setoriais, federações ou confederações patronais;Setor empresarial
IFCS - Intergovernmental Forum on Chemical Safety;690;Organismos internacionais;Outro
Instituto Ambiental Vidágua;694;ONGs, Movimentos Sociais e outras associações da sociedade civil;Sociedade civil, sindicatos, movimentos sociais
Instituto de Pesquisa, Ação e Mobilização;696;ONGs, Movimentos Sociais e outras associações da sociedade civil;Sociedade civil, sindicatos, movimentos sociais
Instituto Global Biosfera;693;ONGs, Movimentos Sociais e outras associações da sociedade civil;Sociedade civil, sindicatos, movimentos sociais
Ministério da Ação Social;697;Administração federal direta (sem MRE) e autarquias;Governo federal não-MRE
Ministério da Aeronáutica;698;Forças Armadas;Governo federal não-MRE
Ministério da Economia, Fazenda e Planejamento;699;Administração federal direta (sem MRE) e autarquias;Governo federal não-MRE
Ministério da Infra-Estrutura;700;Administração federal direta (sem MRE) e autarquias;Governo federal não-MRE
Ministério da Marinha;701;Forças Armadas;Governo federal não-MRE
Ministério do Exército;702;Forças Armadas;Governo federal não-MRE
Município de Alto Paraíso;675;Governos estaduais e municipais (inclusive legislativo, bancos e empresas públicas estaduais);Governos subnacionais (Executivo, Legislativo, Empresas Públicas ou Autarquias)
Município de Campos dos Goytacazes;676;Governos estaduais e municipais (inclusive legislativo, bancos e empresas públicas estaduais);Governos subnacionais (Executivo, Legislativo, Empresas Públicas ou Autarquias)
Projeto Cala-Boca Já Morreu;703;ONGs, Movimentos Sociais e outras associações da sociedade civil;Sociedade civil, sindicatos, movimentos sociais
Rádio Eldorado;704;Jornalistas, assessores de imprensa, jornais ou revistas;Outro
Secretaria de Cultura da Presidência;705;Administração federal direta (sem MRE) e autarquias;Governo federal não-MRE
Secretaria de Desenvolvimento Regional da Presidência;706;Administração federal direta (sem MRE) e autarquias;Governo federal não-MRE
Secretaria de Desportos da Presidência;707;Administração federal direta (sem MRE) e autarquias;Governo federal não-MRE
Secretaria de Governo da Presidência;708;Administração federal direta (sem MRE) e autarquias;Governo federal não-MRE
