"";"org_sujo";"org_detalhe_sujo";"id_org_dupla";"org_limpo";"org_detalhe_limpo";"id_org_unica"
"1";"1st Baptist Church of João Pessoa";NA;761;"1ª Igreja Batista de João Pessoa";NA;1
"2";"ABEMC";NA;1929;"ABEMC - Associação Brasileira das Empresas do Mercado de Carbono";NA;5
"3";"ABINEE";NA;1376;"ABINEE - Associação Brasileira da Indústria Elétrica e Eletrônica";NA;9
"4";"ABIOVE";NA;1924;"ABIOVE - Associação Brasileira das Indústrias de Óleos Vegetais";NA;10
"5";"Abiquim (Brazilian Chemical Industry Association)";NA;184;"ABIQUIM - Associação Brasileira da Indústria Química";NA;11
"6";"Abiquim (Brazilian Chemical Industry Association)";"Technical Department";193;"ABIQUIM - Associação Brasileira da Indústria Química";NA;11
"7";"ABRAF";"Carbon Project";2044;"ABRAF - Associação Brasileira dos Produtores de Florestas Plantadas";NA;16
"8";"ABREA - Associação Brasileira dos Expostos ao Amianto";"Technical Consultancy";210;"ABREA - Associação Brasileira dos Expostos ao Amianto";NA;17
"9";"Abril Group";"Sustainability";2277;"Editora Abril";NA;209
"10";"Abril Group";"Corporative Relations";2449;"Editora Abril";NA;209
"11";"Abril Publisher; Fundación Avina";NA;2440;"Editora Abril";NA;209
"12";"Ação Educativa";NA;1165;"Ação Educativa";NA;19
"13";"Action Aid";NA;1254;"ActionAid";NA;21
"14";"ActionAid Brasil";"Food Rights and Campaigns, Policy and Campaign";2078;"ActionAid";NA;21
"15";"ActionAid International";"Global Food Programme";2079;"ActionAid";NA;21
"16";"ActionAid International - Brazil";NA;2155;"ActionAid";NA;21
"17";"Açucareira Vale do Rosário";NA;1549;"Açucareira Vale do Rosário";NA;22
"18";"Administrative Council of Economic Defense";NA;734;"CADE - Conselho Administrativo de Defesa Econômica";NA;97
"19";"Advisory Office of the President of the Republic";NA;488;"Assessoria Especial da Presidência da República";NA;60
"20";"AES Tietê";NA;1603;"AES Tietê";NA;25
"21";"AES Tietê";"Environment and Carbon Market";1689;"AES Tietê";NA;25
"22";"Afroreggae";NA;886;"Afroreggae";NA;26
"23";"AFSMPOA";"Environment";2406;"Instituto Amigos do Fórum Social Mundial/POA";NA;359
"24";"AGESAN";NA;1990;"Estado de Santa Catarina";"AGESAN - Agência Reguladora de Serviços de Saneamento Básico de Santa Catarina";231
"25";"AGESAN";"Regulation and Supervision";2394;"Estado de Santa Catarina";"AGESAN - Agência Reguladora de Serviços de Saneamento Básico de Santa Catarina";231
"26";"Agricultural and Cattle Farming Confederation";"International Relations";1151;"CNA - Confederação Nacional da Agricultura e Pecuária";NA;135
"27";"Agriculture Workers Confederation";NA;1153;"CONTAG - Confederação Nacional dos Trabalhadores Rurais Agricultores e Agricultoras Familiares";NA;175
"28";"Agriculture Workers Confederation";"Legal Affairs";1257;"CONTAG - Confederação Nacional dos Trabalhadores Rurais Agricultores e Agricultoras Familiares";NA;175
"29";"AIMEX";NA;259;"AIMEX - Associação das Indústrias Exportadoras de Madeiras do Estado do Pará";NA;29
"30";"Akatu";NA;813;"Instituto Akatu";NA;358
"31";"Amazon Environmental Research Institute";NA;2051;"IPAM -  Instituto de Pesquisa Ambiental da Amazônia";NA;392
"32";"Amazon Environmental Research Institute";"Climate Change Program";2052;"IPAM -  Instituto de Pesquisa Ambiental da Amazônia";NA;392
"33";"Amazon Environmental Research Institute";"Climate Change and Indigenous People";2327;"IPAM -  Instituto de Pesquisa Ambiental da Amazônia";NA;392
"34";"Amazon Environmental Research Institute";"Public Policies Program";2348;"IPAM -  Instituto de Pesquisa Ambiental da Amazônia";NA;392
"35";"Amazon Environmental Research Institute";"Public Policies for Forests, Agriculture and Climate";2423;"IPAM -  Instituto de Pesquisa Ambiental da Amazônia";NA;392
"36";"Amazon Environmental Research Institute";"Communication";2435;"IPAM -  Instituto de Pesquisa Ambiental da Amazônia";NA;392
"37";"Amazon Institute for Environmental Research";NA;1878;"IPAM -  Instituto de Pesquisa Ambiental da Amazônia";NA;392
"38";"Amazon National Research Institute";NA;397;"INPA -  Instituto Nacional de Pesquisas da Amazônia";NA;351
"39";"Amazon Working Group";"Amazon Working";2054;"GTA - Grupo de Trabalho Amazônico";NA;317
"40";"Amazon Working Group";NA;2055;"GTA - Grupo de Trabalho Amazônico";NA;317
"41";"Amazonian Working Group - GTA";NA;1596;"GTA - Grupo de Trabalho Amazônico";NA;317
"42";"Amazonian Working Group - GTA";"Presidency";2056;"GTA - Grupo de Trabalho Amazônico";NA;317
"43";"Amigos da Terra - Amazônia Brasileira";NA;2105;"Amigos da Terra";NA;33
"44";"Amigos da Terra (NGO)";NA;1180;"Amigos da Terra";NA;33
"45";"Andifes";NA;674;"ANDIFES - Associação Nacional dos Dirigentes das Instituições Federais de Ensino Superior";NA;39
"46";"ANEEL";NA;1667;"ANEEL - Agência Nacional de Energia Elétrica";NA;40
"47";"Anglo School";NA;2022;"Colégio Anglo";NA;147
"48";"Anima Dialogue and Development";NA;2086;"Anima Convivência Produtiva";NA;41
"49";"Anisio Teixeira Institute";NA;514;"INEP - Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira";NA;346
"50";"Anisio Teixeira Institute";"SEA";798;"INEP - Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira";NA;346
"51";"ANPR - Appellate Federal Prosecutors";NA;1260;"ANPR - Associação Nacional dos Procuradores da República";NA;43
"52";"ANVISA";"Toxicological Analysis";187;"ANVISA - Agência Nacional de Vigilância Sanitária";NA;48
"53";"ANVISA";"Gerência Geral de Toxicologia";199;"ANVISA - Agência Nacional de Vigilância Sanitária";NA;48
"54";"ANVISA";"Toxicology Department";204;"ANVISA - Agência Nacional de Vigilância Sanitária";NA;48
"55";"ANVISA";"Toxicology";216;"ANVISA - Agência Nacional de Vigilância Sanitária";NA;48
"56";"Anvisa";"Assessoria Internacional";1355;"ANVISA - Agência Nacional de Vigilância Sanitária";NA;48
"57";"ANVISA";"Gerência Geral de Tecnologia em Serviços de Saúde";1361;"ANVISA - Agência Nacional de Vigilância Sanitária";NA;48
"58";"Aracruz Celulose S.A.";"Corporate Relations";1858;"Aracruz Celulose S.A.";NA;53
"59";"Arborgen";"Supervisor of Public and Government Affairs";151;"ArborGen";NA;54
"60";"Arcelor Mittal";"Belgo";1825;"Arcelor Mittal";NA;55
"61";"Arcelor Mittal";"Acesita";1826;"Arcelor Mittal";NA;55
"62";"Arcelor Mittal";"Tubarao";1827;"Arcelor Mittal";NA;55
"63";"Archipelago Environmental Engineering";NA;1639;"Archipelago Engenharia Ambiental";NA;56
"64";"Architect and Urbanist; Politician";NA;864;"Arquiteto";NA;58
"65";"Armando Álvares Penteado Fundation";NA;1843;"FAAP - Fundação Armando Álvares Penteado";NA;252
"66";"Articulação dos Povos Indígenas do Brasil";NA;2320;"APIB - Articulação dos Povos Indígenas do Brasil";NA;50
