org_sujo;org_detalhe_sujo;id_org_dupla;org_limpo;org_detalhe_limpo;id_org_unica
1st Baptist Church of João Pessoa;NA;761;1ª Igreja Batista de João Pessoa;NA;1
Brazilian Association of Electric Energy Companies (ABCE);NA;2034;ABCE - Associação Brasileira de Companhias de Energia Elétrica;NA;2
National Industrial Development Agency;NA;701;ABDI - Agência Brasileira de Desenvolvimento Industrial;NA;3
Environmental Institutions Association;NA;812;ABEMA - Associação Brasileira de Entidades Estaduais de Meio Ambiente;NA;4
Associação Brasileira de Entidades Estaduais de Meio Ambiente;NA;2398;ABEMA - Associação Brasileira de Entidades Estaduais de Meio Ambiente;NA;4
Associação Brasileira de Entidades Estaduais de Meio Ambiente;NA;2398;ABEMA - Associação Brasileira de Entidades Estaduais de Meio Ambiente;NA;4
Associação Brasileira de Entidades Estaduais de Meio Ambiente;Secretaria de Meio Ambiente do Rio Grande do Sul;2900;ABEMA - Associação Brasileira de Entidades Estaduais de Meio Ambiente;NA;4
ABEMC;NA;1929;ABEMC - Associação Brasileira das Empresas do Mercado de Carbono;NA;5
Brazilian Association of Carbon Market Corporations;NA;2104;ABEMC - Associação Brasileira das Empresas do Mercado de Carbono;NA;5
Brazilian Association of the Companies of Carbon Market;NA;2176;ABEMC - Associação Brasileira das Empresas do Mercado de Carbono;NA;5
Brazilian Association of the Lesbians, Gays, Homosexuals;NA;820;ABGLT - Associação Brasileira de Gays, Lésbicas, Bissexuais, Travestis, Transexuais e Intersexos;NA;6
Brazilian Association of the Lesbians, Gays and Homosexuals;NA;1204;ABGLT - Associação Brasileira de Gays, Lésbicas, Bissexuais, Travestis, Transexuais e Intersexos;NA;6
Associação Brasileira das Indústrias Exportadoras de Carnes;NA;2037;ABIEC - Associação Brasileira das Indústrias Exportadoras de Carnes;NA;7
Brazilian Intelligence Agency;NA;84;ABIN - Agência Brasileira de Inteligência;NA;8
Brazilian Inteligence Agency;NA;958;ABIN - Agência Brasileira de Inteligência;NA;8
ABINEE;NA;1376;ABINEE - Associação Brasileira da Indústria Elétrica e Eletrônica;NA;9
ABIOVE;NA;1924;ABIOVE - Associação Brasileira das Indústrias de Óleos Vegetais;NA;10
Abiquim (Brazilian Chemical Industry Association);NA;184;ABIQUIM - Associação Brasileira da Indústria Química;NA;11
Abiquim (Brazilian Chemical Industry Association);NA;184;ABIQUIM - Associação Brasileira da Indústria Química;NA;11
Abiquim (Brazilian Chemical Industry Association);Technical Department;193;ABIQUIM - Associação Brasileira da Indústria Química;NA;11
Brazilian Association of the Chemical Industry;Regulatory Affairs and Sustainability;2260;ABIQUIM - Associação Brasileira da Indústria Química;NA;11
Brazilian Association of Municipalities;Mayor of Tanguá;651;ABM - Associação Brasileira de Municípios;NA;12
Brazilian Association of Municipalities;NA;724;ABM - Associação Brasileira de Municípios;NA;12
