Event name,url,Event date,Event type
Glasgow Climate Change Conference,https://enb.iisd.org/Glasgow-Climate-Change-Conference-COP26,31 October 2021 - 12 November 2021,Conference of the Parties (COP)
2021 Sessions of the UNFCCC Subsidiary Bodies,https://enb.iisd.org/climate/UNFCCC/SB2021,31 May 2021 - 17 June 2021,Event
Climate Ambition Summit 2020,https://enb.iisd.org/events/climate-ambition-summit-2020,12 December 2020,Event
UN Climate Change Dialogues 2020,https://enb.iisd.org/events/un-climate-change-dialogues-2020,23 November 2020 - 4 December 2020,Event
June Momentum for Climate Change,https://enb.iisd.org/events/june-momentum-climate-change,1 June 2020 - 10 June 2020,Event
Chile/Madrid Climate Change Conference - December 2019,https://enb.iisd.org/events/chilemadrid-climate-change-conference-december-2019,2 December 2019 - 15 December 2019,Conference of the Parties (COP)
Latin America and Caribbean Climate Week 2019,https://enb.iisd.org/events/latin-america-and-caribbean-climate-week-2019,19 August 2019 - 23 August 2019,Event
Bonn Climate Change Conference - June 2019,https://enb.iisd.org/events/bonn-climate-change-conference-june-2019,17 June 2019 - 27 June 2019,Event
Katowice Climate Change Conference - December 2018,https://enb.iisd.org/events/katowice-climate-change-conference-december-2018,2 December 2018 - 15 December 2018,Event
Bangkok Climate Change Conference - September 2018,https://enb.iisd.org/events/bangkok-climate-change-conference-september-2018,4 September 2018 - 9 September 2018,Event
Bonn Climate Change Conference - April 2018,https://enb.iisd.org/events/bonn-climate-change-conference-april-2018,30 April 2018 - 10 May 2018,Event
Fiji / Bonn Climate Change Conference - November 2017,https://enb.iisd.org/events/fiji-bonn-climate-change-conference-november-2017,6 November 2017 - 17 November 2017,Event
Bonn Climate Change Conference - May 2017,https://enb.iisd.org/events/bonn-climate-change-conference-may-2017,8 May 2017 - 18 May 2017,Event
Marrakech Climate Change Conference - November 2016,https://enb.iisd.org/events/marrakech-climate-change-conference-november-2016,7 November 2016 - 19 November 2016,Event
Bonn Climate Change Conference - May 2016,https://enb.iisd.org/events/bonn-climate-change-conference-may-2016,16 May 2016 - 26 May 2016,Event
Paris Climate Change Conference - November 2015,https://enb.iisd.org/events/paris-climate-change-conference-november-2015,29 November 2015 - 13 December 2015,Conference of the Parties (COP)
