"";"report_id";"AILAC";"ALBA";"AOSIS";"Afghanistan";"African Group";"Albania";"Algeria";"Angola";"Antigua and Barbuda";"Arab Group";"Argentina";"Armenia";"Australia";"Austria";"Azerbaijan";"BASIC";"Bahamas";"Bahrain";"Bangladesh";"Barbados";"Belarus";"Belgium";"Belize";"Benin";"Bhutan";"Bolivia";"Bosnia and Herzegovina";"Botswana";"Brazil";"Brunei";"Bulgaria";"Burkina Faso";"Burundi";"CACAM";"COMIFAC";"Cambodia";"Cameroon";"Canada";"Cape Verde";"Cartagena Dialogue";"Central African Republic";"Central America";"Central Group";"Central Group Eleven";"Chad";"Chile";"China";"Coalition of Rainforest Nations";"Colombia";"Congo Basin Countries";"Congo, Democratic Rep.";"Congo, Republic";"Cook Islands";"Costa Rica";"Cote d'Ivoire";"Croatia";"Cuba";"Cyprus";"Czech Republic";"Denmark";"Djibouti";"Dominica";"Dominican Republic";"EU";"Ecuador";"Egypt";"El Salvador";"Environmental Integrity Group";"Equatorial Guinea";"Eritrea";"Estonia";"Ethiopia";"Fiji";"Finland";"France";"G77";"Gabon";"Gambia";"Georgia";"Germany";"Ghana";"Greece";"Grenada";"Group of 9";"Guatemala";"Guinea";"Guinea-Bissau";"Guyana";"Haiti";"Honduras";"Hungary";"Iceland";"India";"Indonesia";"Iran";"Iraq";"Ireland";"Israel";"Italy";"JUSCANZ";"Jamaica";"Japan";"Jordan";"Kazakhstan";"Kenya";"Kiribati";"Korea, Republic";"Kuwait";"Kyrgyz Republic";"LDCs";"Like Minded Developing Countries";"Lao PDR";"Latvia";"Lebanon";"Lesotho";"Liberia";"Libya";"Liechtenstein";"Lithuania";"Luxembourg";"Macedonia";"Madagascar";"Malawi";"Malaysia";"Maldives";"Mali";"Malta";"Marshall Islands";"Mauritania";"Mauritius";"Mexico";"Micronesia";"Moldova";"Monaco";"Mongolia";"Morocco";"Mountain Landlocked Developing Countries";"Mozambique";"Myanmar";"Namibia";"Nauru";"Nepal";"Netherlands";"New Zealand";"Nicaragua";"Niger";"Nigeria";"Niue";"Korea, Democratic Rep.";"Norway";"OECD";"OPEC";"Oman";"Pakistan";"Palau";"Palestine";"Panama";"Papua New Guinea";"Paraguay";"Peru";"Philippines";"Poland";"Portugal";"Qatar";"Romania";"Russian Federation";"Rwanda";"SICA";"Samoa";"Saudi Arabia";"Senegal";"Serbia and Montenegro";"Seychelles";"Sierra Leone";"Singapore";"Slovak Republic";"Slovenia";"Solomon Islands";"South Africa";"South Sudan";"Spain";"Sri Lanka";"St. Lucia";"St. Vincent and the Grenadines";"Sudan";"Suriname";"Swaziland";"Sweden";"Switzerland";"Syrian Arab Republic";"Tajikistan";"Tanzania";"Thailand";"Timor-Leste";"Togo";"Tonga";"Trinidad and Tobago";"Tunisia";"Turkey";"Turkmenistan";"Tuvalu";"Uganda";"Ukraine";"Umbrella Group";"United Arab Emirates";"United Kingdom";"United States";"Uruguay";"Uzbekistan";"Vanuatu";"Venezuela";"Vietnam";"Visegrad Group";"Yemen";"Yugoslavia";"Zambia";"Zimbabwe";"Southern Africa Development Community";"Caribbean Community";"EITs";"Somalia";"Comoros";"Serbia";"Montenegro";"African Union"
"1";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"2";2;0;0;3;0;7;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;5;0;0;0;1;0;0;0;0;0;0;0;3;1;0;0;1;0;1;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;4;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"3";3;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"4";4;1;0;1;0;2;0;0;0;2;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;2;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;1;0;1;0;0;0;0;0;0;1;1;2;0;0;1;0;1;1;0;0;1;0;0;0;0;0;0;4;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;3;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;2;0;0;0;0;2;0;0;0;3;0;1;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"5";5;1;0;2;0;0;0;0;0;2;0;1;0;1;0;0;0;0;0;2;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;1;0;2;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;2;0;0;1;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;1;0;0;0;0;1;0;2;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"6";6;0;0;2;0;2;0;0;0;0;1;0;0;0;1;0;0;0;0;1;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;3;0;0;0;0;0;0;0;0;0;1;1;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"7";7;1;0;2;0;2;0;0;0;4;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;2;1;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"8";8;4;0;2;0;5;0;0;0;2;1;1;0;0;0;0;0;0;0;0;1;0;0;3;0;0;1;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;1;0;3;0;0;0;0;1;0;0;0;0;0;1;0;0;0;6;1;2;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;2;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;0;0;0;0;0;5;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"9";9;3;0;3;0;3;0;0;0;1;0;0;0;3;1;0;0;0;0;0;0;0;0;3;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;6;1;0;0;0;0;0;0;0;1;1;1;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;2;0;1;4;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;4;0;0;0;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;1;3;0;0;3;0;0;0;0;3;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"10";10;1;0;1;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;1;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;7;0;1;0;0;0;0;0;0;1;0;1;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;1;0;2;0;1;0;0;0;4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
