"";"section_h1";"section_h2";"report_id";"sentence";"sent_order";"interaction";"sender";"target";"title";"event";"event_name";"conf_startdate";"conf_enddate";"negotiation_date";"row_id"
"1";"SUBSIDIARY BODY FOR SCIENTIFIC AND TECHNOLOGICAL ADVICE
";"First subsection";532;"When reviewing the agenda, the RUSSIANFEDERATION proposed amending the agenda to note the use of scientific assessments.VENEZUELA, supported by KUWAIT, proposed producing a written report along withtheir decisions, because an oral report could leave some things unclear.";17911;"support";"KUWAIT";"VENEZUELA";"Report of main proceedings for 9 July 1996";"UNFCCC COP 2";"UNFCCC COP 2";1996-07-08;1996-07-19;1996-07-09;1
"2";"SUBSIDIARY BODY FOR SCIENTIFIC AND TECHNOLOGICAL ADVICE
";"First subsection";532;"The PHILIPPINES, supported by INDONESIA and BRAZIL, said the SAR should beused as a comprehensive whole and not selectively.";17926;"support";"INDONESIA";"PHILIPPINES";"Report of main proceedings for 9 July 1996";"UNFCCC COP 2";"UNFCCC COP 2";1996-07-08;1996-07-19;1996-07-09;2
"3";"SUBSIDIARY BODY FOR SCIENTIFIC AND TECHNOLOGICAL ADVICE
";"First subsection";532;"The PHILIPPINES, supported by INDONESIA and BRAZIL, said the SAR should beused as a comprehensive whole and not selectively.";17926;"support";"BRAZIL";"PHILIPPINES";"Report of main proceedings for 9 July 1996";"UNFCCC COP 2";"UNFCCC COP 2";1996-07-08;1996-07-19;1996-07-09;3
"4";"SUBSIDIARY BODY FOR SCIENTIFIC AND TECHNOLOGICAL ADVICE
";"First subsection";532;"CENTRAL AFRICAN REPUBLIC, supported by ZIMBABWE, called for an addendumto the SAR noting SBSTAs comments.";17930;"support";"ZIMBABWE";"CENTRAL AFRICAN REPUBLIC";"Report of main proceedings for 9 July 1996";"UNFCCC COP 2";"UNFCCC COP 2";1996-07-08;1996-07-19;1996-07-09;4
"5";"SUBSIDIARY BODY FOR SCIENTIFIC AND TECHNOLOGICAL ADVICE
";"First subsection";532;"JAPAN, supported by the US, proposed a separate informalsession to discuss the revised guidelines.";17938;"support";"US";"JAPAN";"Report of main proceedings for 9 July 1996";"UNFCCC COP 2";"UNFCCC COP 2";1996-07-08;1996-07-19;1996-07-09;5
"6";"SUBSIDIARY BODY FOR SCIENTIFIC AND TECHNOLOGICAL ADVICE
";"First subsection";532;"CHINA, supported by INDIA, highlighted theimportance of technology transfer and called for including language in the body of theguidelines.";17939;"support";"INDIA";"CHINA";"Report of main proceedings for 9 July 1996";"UNFCCC COP 2";"UNFCCC COP 2";1996-07-08;1996-07-19;1996-07-09;6
"7";"SUBSIDIARY BODY FOR SCIENTIFIC AND TECHNOLOGICAL ADVICE
";"First subsection";532;"The PHILIPPINES, supported by INDONESIA and BRAZIL, said the SAR should beused as a comprehensive whole and not selectively.";17926;"agreement";"BRAZIL";"INDONESIA";"Report of main proceedings for 9 July 1996";"UNFCCC COP 2";"UNFCCC COP 2";1996-07-08;1996-07-19;1996-07-09;7
"8";"SUBSIDIARY BODY FOR SCIENTIFIC AND TECHNOLOGICAL ADVICE
";"First subsection";532;"The PHILIPPINES, supported by INDONESIA and BRAZIL, said the SAR should beused as a comprehensive whole and not selectively.";17926;"agreement";"INDONESIA";"BRAZIL";"Report of main proceedings for 9 July 1996";"UNFCCC COP 2";"UNFCCC COP 2";1996-07-08;1996-07-19;1996-07-09;8
"9";"SUBSIDIARY BODY FOR SCIENTIFIC AND TECHNOLOGICAL ADVICE
";"First subsection";531;"The G-77/CHINA, supported by COLOMBIA and INDIA, proposed Annex I partiescommunicate GHG emission limitations and commitments related to financial resourcesand technology transfer.";17870;"support";"COLOMBIA";"G-77/CHINA";"Report of main proceedings for 10 July 1996";"UNFCCC COP 2";"UNFCCC COP 2";1996-07-08;1996-07-19;1996-07-10;9
"10";"SUBSIDIARY BODY FOR SCIENTIFIC AND TECHNOLOGICAL ADVICE
";"First subsection";531;"The G-77/CHINA, supported by COLOMBIA and INDIA, proposed Annex I partiescommunicate GHG emission limitations and commitments related to financial resourcesand technology transfer.";17870;"support";"INDIA";"G-77/CHINA";"Report of main proceedings for 10 July 1996";"UNFCCC COP 2";"UNFCCC COP 2";1996-07-08;1996-07-19;1996-07-10;10
"11";"SUBSIDIARY BODY FOR SCIENTIFIC AND TECHNOLOGICAL ADVICE
";"First subsection";531;"ESTONIA, supported by LATVIA and the REPUBLIC OFKOREA, said guidelines should be revised with flexibility.";17871;"support";"LATVIA";"ESTONIA";"Report of main proceedings for 10 July 1996";"UNFCCC COP 2";"UNFCCC COP 2";1996-07-08;1996-07-19;1996-07-10;11
"12";"SUBSIDIARY BODY FOR SCIENTIFIC AND TECHNOLOGICAL ADVICE
";"First subsection";531;"The EU, supported by JAPAN, strongly supported the roleof NGOs and remained open to tailoring different mechanisms for different NGOconstituencies.";17879;"support";"JAPAN";"EU";"Report of main proceedings for 10 July 1996";"UNFCCC COP 2";"UNFCCC COP 2";1996-07-08;1996-07-19;1996-07-10;12
"13";"SUBSIDIARY BODY FOR SCIENTIFIC AND TECHNOLOGICAL ADVICE
";"First subsection";531;"The G-77/CHINA, supported by COLOMBIA and INDIA, proposed Annex I partiescommunicate GHG emission limitations and commitments related to financial resourcesand technology transfer.";17870;"agreement";"INDIA";"COLOMBIA";"Report of main proceedings for 10 July 1996";"UNFCCC COP 2";"UNFCCC COP 2";1996-07-08;1996-07-19;1996-07-10;13
"14";"SUBSIDIARY BODY FOR SCIENTIFIC AND TECHNOLOGICAL ADVICE
";"First subsection";531;"The G-77/CHINA, supported by COLOMBIA and INDIA, proposed Annex I partiescommunicate GHG emission limitations and commitments related to financial resourcesand technology transfer.";17870;"agreement";"COLOMBIA";"INDIA";"Report of main proceedings for 10 July 1996";"UNFCCC COP 2";"UNFCCC COP 2";1996-07-08;1996-07-19;1996-07-10;14
"15";"SUBSIDIARY BODY FOR IMPLEMENTATION
";"First subsection";530;"The EU, supported by AUSTRALIA, saidthe documents are the principal source to assess progress.";17794;"support";"AUSTRALIA";"EU";"Report of main proceedings for 11 July 1996";"UNFCCC COP 2";"UNFCCC COP 2";1996-07-08;1996-07-19;1996-07-11;15
"16";"SUBSIDIARY BODY FOR SCIENTIFIC AND TECHNOLOGICAL ADVICE
";"First subsection";530;"MALAYSIA supported by CHINA recommended deferring AIJ workshops until afterCOP-3 to avoid basing decisions on inaccurate information and requested information onbudgetary implications of holding an AIJ forum.";17805;"support";"MALAYSIA";"";"Report of main proceedings for 11 July 1996";"UNFCCC COP 2";"UNFCCC COP 2";1996-07-08;1996-07-19;1996-07-11;16
"17";"SUBSIDIARY BODY FOR SCIENTIFIC AND TECHNOLOGICAL ADVICE
";"First subsection";530;"MALAYSIA supported by CHINA recommended deferring AIJ workshops until afterCOP-3 to avoid basing decisions on inaccurate information and requested information onbudgetary implications of holding an AIJ forum.";17805;"support";"CHINA";"";"Report of main proceedings for 11 July 1996";"UNFCCC COP 2";"UNFCCC COP 2";1996-07-08;1996-07-19;1996-07-11;17
