"";"obs_id";"quote_id";"e_date";"ENB_Nr";"Country1";"Country2";"quote";"masked_quote";"cooperation";"relation"
"1";5;3157;1995-02-07;2;"Kuwait";"Saudi Arabia";"Saudi Arabia, supported by Kuwait, suggested that increasing uncertainties in emissions scenarios with longer time scales, downward revisions in estimates of sea level rise, and differences in social costs of mitigation options require a cauti";"TARGET, SUPPORTED BY SENDER, SUGGESTED THAT INCREASING UNCERTAINTIES IN EMISSIONS SCENARIOS WITH LONGER TIME SCALES, DOWNWARD REVISIONS IN ESTIMATES OF SEA LEVEL RISE, AND DIFFERENCES IN SOCIAL COSTS OF MITIGATION OPTIONS REQUIRE A CAUTI";1;2
"2";89;775;2008-04-01;358;"Canada";"Argentina";"CANADA highlighted links between the AWG and AWGLCA and, with ARGENTINA, called for coordinating the processes.";"SENDER HIGHLIGHTED LINKS BETWEEN THE AWG AND AWGLCA AND, WITH TARGET, CALLED FOR COORDINATING THE PROCESSES.";1;3
"3";90;775;2008-04-01;358;"Argentina";"Canada";"CANADA highlighted links between the AWG and AWGLCA and, with ARGENTINA, called for coordinating the processes.";"TARGET HIGHLIGHTED LINKS BETWEEN THE AWG AND AWGLCA AND, WITH SENDER, CALLED FOR COORDINATING THE PROCESSES.";1;3
"4";97;597;2008-04-01;358;"New Zealand";"Brazil";"BRAZIL noted that the AWG’s success depends on its ability to focus on Annex I commitments. (...) NEW ZEALAND stated that rules must be improved and finalized before new commitments are made.";"TARGET NOTED THAT THE AWG’S SUCCESS DEPENDS ON ITS ABILITY TO FOCUS ON ANNEX I COMMITMENTS. (...) SENDER STATED THAT RULES MUST BE IMPROVED AND FINALIZED BEFORE NEW COMMITMENTS ARE MADE.";0;6
"5";145;1086;2008-04-01;358;"China";"Chile";"CHINA, with CHILE, emphasized that action from developing countries should be carried out within the framework of sustainable development and requires financial and technological support from developed countries.";"SENDER, WITH TARGET, EMPHASIZED THAT ACTION FROM DEVELOPING COUNTRIES SHOULD BE CARRIED OUT WITHIN THE FRAMEWORK OF SUSTAINABLE DEVELOPMENT AND REQUIRES FINANCIAL AND TECHNOLOGICAL SUPPORT FROM DEVELOPED COUNTRIES.";1;3
"6";146;1086;2008-04-01;358;"Chile";"China";"CHINA, with CHILE, emphasized that action from developing countries should be carried out within the framework of sustainable development and requires financial and technological support from developed countries.";"TARGET, WITH SENDER, EMPHASIZED THAT ACTION FROM DEVELOPING COUNTRIES SHOULD BE CARRIED OUT WITHIN THE FRAMEWORK OF SUSTAINABLE DEVELOPMENT AND REQUIRES FINANCIAL AND TECHNOLOGICAL SUPPORT FROM DEVELOPED COUNTRIES.";1;3
"7";152;1719;2008-12-03;387;"Japan";"Canada";"JAPAN and CANADA noted linkages between AWG-LCA and SBI discussions on technology transfer.";"SENDER AND TARGET NOTED LINKAGES BETWEEN AWG-LCA AND SBI DISCUSSIONS ON TECHNOLOGY TRANSFER.";1;4
"8";153;1719;2008-12-03;387;"Canada";"Japan";"JAPAN and CANADA noted linkages between AWG-LCA and SBI discussions on technology transfer.";"TARGET AND SENDER NOTED LINKAGES BETWEEN AWG-LCA AND SBI DISCUSSIONS ON TECHNOLOGY TRANSFER.";1;4
"9";195;1384;2008-12-03;387;"Ghana";"Brazil";"GHANA said a shared vision should address all elements of the Bali Action Plan, and not be temporarily limited in terms of actors and actions. BRAZIL said a shared vision should cover all building blocks,";"SENDER SAID A SHARED VISION SHOULD ADDRESS ALL ELEMENTS OF THE BALI ACTION PLAN, AND NOT BE TEMPORARILY LIMITED IN TERMS OF ACTORS AND ACTIONS. TARGET SAID A SHARED VISION SHOULD COVER ALL BUILDING BLOCKS,";1;4
"10";196;1384;2008-12-03;387;"Brazil";"Ghana";"GHANA said a shared vision should address all elements of the Bali Action Plan, and not be temporarily limited in terms of actors and actions. BRAZIL said a shared vision should cover all building blocks,";"TARGET SAID A SHARED VISION SHOULD ADDRESS ALL ELEMENTS OF THE BALI ACTION PLAN, AND NOT BE TEMPORARILY LIMITED IN TERMS OF ACTORS AND ACTIONS. SENDER SAID A SHARED VISION SHOULD COVER ALL BUILDING BLOCKS,";1;4
