"";"year";"coop_score_0";"coop_score_1";"coop_score_2";"weighted_score_0";"weighted_score_1";"weighted_score_2";"coop_score";"weighted_score";"n_send";"n_targ";"state_total";"coop_avg";"weighted_score_avg";"grouping"
"1";1995;69;97;10;442;496;44;38;98;112;113;225;0,168888888888889;0,435555555555556;"G77"
"2";1996;26;68;4;118;268;12;46;162;50;51;101;0,455445544554455;1,6039603960396;"G77"
"3";1997;10;23;1;76;108;8;14;40;25;19;44;0,318181818181818;0,909090909090909;"G77"
"4";1998;9;32;2;100;120;4;25;24;25;29;54;0,462962962962963;0,444444444444444;"G77"
"5";1999;44;49;1;202;268;2;6;68;53;59;112;0,0535714285714286;0,607142857142857;"G77"
"6";2000;49;105;14;435;440;48;70;53;110;106;216;0,324074074074074;0,24537037037037;"G77"
"7";2001;6;31;2;78;110;8;27;40;25;23;48;0,5625;0,833333333333333;"G77"
"8";2002;10;24;0;72;114;0;14;42;23;20;43;0,325581395348837;0,976744186046512;"G77"
"9";2003;19;10;4;80;44;14;-5;-22;20;15;35;-0,142857142857143;-0,628571428571429;"G77"
"10";2004;18;11;0;197;50;0;-7;-147;31;22;53;-0,132075471698113;-2,77358490566038;"G77"
"11";2005;9;3;0;30;10;0;-6;-20;7;5;12;-0,5;-1,66666666666667;"G77"
"12";2006;5;14;0;73;66;0;9;-7;16;14;30;0,3;-0,233333333333333;"G77"
"13";2007;15;20;0;83;127;0;5;44;30;19;49;0,102040816326531;0,897959183673469;"G77"
"14";2008;32;75;6;386;385;24;49;23;86;89;175;0,28;0,131428571428571;"G77"
"15";2009;164;359;29;1282;1584;100;224;402;389;317;706;0,31728045325779;0,569405099150142;"G77"
"16";2010;35;153;4;434;648;16;122;230;144;120;264;0,462121212121212;0,871212121212121;"G77"
"17";2011;37;177;2;278;730;8;142;460;129;121;250;0,568;1,84;"G77"
"18";2012;23;125;2;200;436;8;104;244;81;94;175;0,594285714285714;1,39428571428571;"G77"
"19";2013;14;110;6;189;269;20;102;100;68;91;159;0,641509433962264;0,628930817610063;"G77"
