"";"year";"coop_score_0";"coop_score_1";"coop_score_2";"weighted_score_0";"weighted_score_1";"weighted_score_2";"coop_score";"weighted_score";"n_send";"n_targ";"state_total";"coop_avg";"weighted_score_avg";"grouping"
"1";1995;155;13;8;864;80;38;-134;-746;112;113;225;-0,595555555555556;-3,31555555555556;"EU"
"2";1996;94;0;4;370;12;16;-90;-342;50;51;101;-0,891089108910891;-3,38613861386139;"EU"
"3";1997;32;2;0;178;8;6;-30;-164;25;19;44;-0,681818181818182;-3,72727272727273;"EU"
"4";1998;38;0;5;200;0;24;-33;-176;25;29;54;-0,611111111111111;-3,25925925925926;"EU"
"5";1999;80;10;4;400;40;32;-66;-328;53;59;112;-0,589285714285714;-2,92857142857143;"EU"
"6";2000;162;4;2;859;16;48;-156;-795;110;106;216;-0,722222222222222;-3,68055555555556;"EU"
"7";2001;35;0;4;174;0;22;-31;-152;25;23;48;-0,645833333333333;-3,16666666666667;"EU"
"8";2002;31;0;3;176;0;10;-28;-166;23;20;43;-0,651162790697674;-3,86046511627907;"EU"
"9";2003;30;0;3;126;0;12;-27;-114;20;15;35;-0,771428571428571;-3,25714285714286;"EU"
"10";2004;25;0;4;218;0;29;-21;-189;31;22;53;-0,39622641509434;-3,56603773584906;"EU"
"11";2005;10;0;2;34;0;6;-8;-28;7;5;12;-0,666666666666667;-2,33333333333333;"EU"
"12";2006;17;0;2;125;0;14;-15;-111;16;14;30;-0,5;-3,7;"EU"
"13";2007;31;0;4;190;0;20;-27;-170;30;19;49;-0,551020408163265;-3,46938775510204;"EU"
"14";2008;100;2;11;673;14;108;-87;-551;86;89;175;-0,497142857142857;-3,14857142857143;"EU"
"15";2009;528;0;24;2734;0;232;-504;-2502;389;317;706;-0,713881019830028;-3,54390934844193;"EU"
"16";2010;190;0;2;1036;0;62;-188;-974;144;120;264;-0,712121212121212;-3,68939393939394;"EU"
"17";2011;214;0;2;978;0;38;-212;-940;129;121;250;-0,848;-3,76;"EU"
"18";2012;144;0;6;596;0;48;-138;-548;81;94;175;-0,788571428571429;-3,13142857142857;"EU"
"19";2013;128;0;2;446;0;32;-126;-414;68;91;159;-0,792452830188679;-2,60377358490566;"EU"
