,Entity-value,Entity-alias,SUM(Pivot Field Values)-alias,YEAR(Year)-value,YEAR(Year)-alias
0,SBSTA,SBSTA,53,2022,2022
1,SBI,SBI,35,2022,2022
2,COP,COP,36,2022,2022
3,CMP,CMP,24,2022,2022
4,CMA,CMA,34,2022,2022
5,SBSTA,SBSTA,35,2021,2021
6,SBI,SBI,46,2021,2021
7,COP,COP,38,2021,2021
8,CMP,CMP,26,2021,2021
9,CMA,CMA,36,2021,2021
10,SBSTA,SBSTA,28,2019,2019
11,SBI,SBI,108,2019,2019
12,COP,COP,34,2019,2019
13,CMP,CMP,24,2019,2019
14,CMA,CMA,29,2019,2019
15,SBSTA,SBSTA,44,2018,2018
16,SBI,SBI,69,2018,2018
17,COP,COP,38,2018,2018
18,CMP,CMP,25,2018,2018
19,CMA,CMA,12,2018,2018
20,APA,APA,39,2018,2018
21,SBSTA,SBSTA,48,2017,2017
22,SBI,SBI,76,2017,2017
23,COP,COP,42,2017,2017
24,CMP,CMP,27,2017,2017
25,CMA,CMA,13,2017,2017
26,APA,APA,26,2017,2017
27,SBSTA,SBSTA,52,2016,2016
28,SBI,SBI,77,2016,2016
29,COP,COP,40,2016,2016
30,CMP,CMP,27,2016,2016
31,CMA,CMA,11,2016,2016
32,APA,APA,23,2016,2016
33,SBSTA,SBSTA,51,2015,2015
34,SBI,SBI,64,2015,2015
35,COP,COP,39,2015,2015
36,CMP,CMP,27,2015,2015
37,ADP,ADP,40,2015,2015
38,SBSTA,SBSTA,55,2014,2014
39,SBI,SBI,72,2014,2014
40,COP,COP,39,2014,2014
41,CMP,CMP,27,2014,2014
42,ADP,ADP,32,2014,2014
43,SBSTA,SBSTA,58,2013,2013
44,SBI,SBI,73,2013,2013
45,COP,COP,40,2013,2013
46,CMP,CMP,31,2013,2013
47,ADP,ADP,24,2013,2013
48,SBSTA,SBSTA,48,2012,2012
49,SBI,SBI,75,2012,2012
50,COP,COP,40,2012,2012
51,CMP,CMP,17,2012,2012
52,AWG-LCA,AWG-LCA,135,2012,2012
53,AWG-KP,AWG-KP,14,2012,2012
54,ADP,ADP,16,2012,2012
55,SBSTA,SBSTA,38,2011,2011
56,SBI,SBI,68,2011,2011
57,COP,COP,35,2011,2011
58,CMP,CMP,42,2011,2011
59,AWG-LCA,AWG-LCA,76,2011,2011
60,AWG-KP,AWG-KP,28,2011,2011
61,SBSTA,SBSTA,38,2010,2010
62,SBI,SBI,64,2010,2010
63,COP,COP,33,2010,2010
64,CMP,CMP,28,2010,2010
65,AWG-LCA,AWG-LCA,29,2010,2010
66,AWG-KP,AWG-KP,33,2010,2010
67,SBSTA,SBSTA,30,2009,2009
68,SBI,SBI,54,2009,2009
69,COP,COP,32,2009,2009
70,CMP,CMP,26,2009,2009
71,AWG-LCA,AWG-LCA,45,2009,2009
72,AWG-KP,AWG-KP,47,2009,2009
73,SBSTA,SBSTA,33,2008,2008
74,SBI,SBI,49,2008,2008
75,COP,COP,29,2008,2008
76,CMP,CMP,27,2008,2008
77,AWG-LCA,AWG-LCA,38,2008,2008
78,AWG-KP,AWG-KP,54,2008,2008
79,SBSTA,SBSTA,52,2007,2007
80,SBI,SBI,58,2007,2007
81,COP,COP,29,2007,2007
82,CMP,CMP,28,2007,2007
83,AWG-KP,AWG-KP,23,2007,2007
84,SBSTA,SBSTA,38,2006,2006
85,SBI,SBI,55,2006,2006
86,COP,COP,30,2006,2006
87,CMP,CMP,29,2006,2006
88,AWG-KP,AWG-KP,13,2006,2006
89,SBSTA,SBSTA,35,2005,2005
90,SBI,SBI,52,2005,2005
91,COP,COP,30,2005,2005
92,CMP,CMP,27,2005,2005
93,SBSTA,SBSTA,40,2004,2004
94,SBI,SBI,46,2004,2004
95,COP,COP,44,2004,2004
96,SBSTA,SBSTA,33,2003,2003
97,SBI,SBI,45,2003,2003
98,COP,COP,43,2003,2003
99,SBSTA,SBSTA,35,2002,2002
100,SBI,SBI,54,2002,2002
101,COP,COP,43,2002,2002
102,SBSTA,SBSTA,29,2001,2001
103,SBI,SBI,38,2001,2001
104,COP,COP,81,2001,2001
105,SBSTA,SBSTA,53,2000,2000
106,SBI,SBI,39,2000,2000
107,COP,COP,33,2000,2000
108,SBSTA,SBSTA,39,1999,1999
109,SBI,SBI,48,1999,1999
110,COP,COP,45,1999,1999
111,SBSTA,SBSTA,34,1998,1998
112,SBI,SBI,20,1998,1998
113,COP,COP,48,1998,1998
114,SBSTA,SBSTA,36,1997,1997
115,SBI,SBI,60,1997,1997
116,COP,COP,26,1997,1997
117,AGBM,AGBM,32,1997,1997
118,AGA,AGA,10,1997,1997
119,SBSTA,SBSTA,32,1996,1996
120,SBI,SBI,21,1996,1996
121,COP,COP,29,1996,1996
122,AGBM,AGBM,34,1996,1996
123,AGA,AGA,7,1996,1996
124,SBSTA,SBSTA,10,1995,1995
125,SBI,SBI,24,1995,1995
126,COP,COP,30,1995,1995
127,AGBM,AGBM,19,1995,1995
128,AGA,AGA,5,1995,1995
