,Pivot Field Names-alias,YEAR(Year_raw)-value,YEAR(Year_raw)-alias,SUM(Pivot Field Values)-value,SUM(Pivot Field Values)-alias
0,Procedural,1995-01-01 00:00:00,1995,0.6741573033707865,0.6741573033707865
1,Procedural,1996-01-01 00:00:00,1996,0.7311827956989247,0.7311827956989247
2,Procedural,1997-01-01 00:00:00,1997,0.7309941520467836,0.7309941520467836
3,Procedural,1998-01-01 00:00:00,1998,0.5075757575757576,0.5075757575757576
4,Procedural,1999-01-01 00:00:00,1999,0.4649681528662421,0.4649681528662421
5,Procedural,2000-01-01 00:00:00,2000,0.37583892617449666,0.37583892617449666
6,Procedural,2001-01-01 00:00:00,2001,0.546583850931677,0.546583850931677
7,Procedural,2002-01-01 00:00:00,2002,0.46478873239436613,0.46478873239436613
8,Procedural,2003-01-01 00:00:00,2003,0.45070422535211274,0.45070422535211274
9,Procedural,2004-01-01 00:00:00,2004,0.4195804195804196,0.4195804195804196
10,Procedural,2005-01-01 00:00:00,2005,0.5,0.5
11,Procedural,2006-01-01 00:00:00,2006,0.5055555555555555,0.5055555555555555
12,Procedural,2007-01-01 00:00:00,2007,0.48113207547169806,0.48113207547169806
13,Procedural,2008-01-01 00:00:00,2008,0.5079365079365079,0.5079365079365079
14,Procedural,2009-01-01 00:00:00,2009,0.5019455252918288,0.5019455252918288
15,Procedural,2010-01-01 00:00:00,2010,0.5555555555555556,0.5555555555555556
16,Procedural,2011-01-01 00:00:00,2011,0.4228395061728395,0.4228395061728395
17,Procedural,2012-01-01 00:00:00,2012,0.34748010610079577,0.34748010610079577
18,Procedural,2013-01-01 00:00:00,2013,0.36704119850187267,0.36704119850187267
19,Procedural,2014-01-01 00:00:00,2014,0.37918215613382894,0.37918215613382894
20,Procedural,2015-01-01 00:00:00,2015,0.41015625,0.41015625
21,Procedural,2016-01-01 00:00:00,2016,0.40540540540540543,0.40540540540540543
22,Procedural,2017-01-01 00:00:00,2017,0.4076923076923077,0.4076923076923077
23,Procedural,2018-01-01 00:00:00,2018,0.41796875,0.41796875
24,Procedural,2019-01-01 00:00:00,2019,0.38,0.38
25,Procedural,2021-01-01 00:00:00,2021,0.3640776699029126,0.3640776699029126
26,Procedural,2022-01-01 00:00:00,2022,0.33962264150943394,0.33962264150943394
27,Transparency,1995-01-01 00:00:00,1995,0.08988764044943819,0.08988764044943819
28,Transparency,1996-01-01 00:00:00,1996,0.07526881720430108,0.07526881720430108
29,Transparency,1997-01-01 00:00:00,1997,0.05847953216374269,0.05847953216374269
30,Transparency,1998-01-01 00:00:00,1998,0.05303030303030303,0.05303030303030303
31,Transparency,1999-01-01 00:00:00,1999,0.10828025477707005,0.10828025477707005
32,Transparency,2000-01-01 00:00:00,2000,0.08053691275167783,0.08053691275167783
33,Transparency,2001-01-01 00:00:00,2001,0.08695652173913043,0.08695652173913043
34,Transparency,2002-01-01 00:00:00,2002,0.11971830985915492,0.11971830985915492
35,Transparency,2003-01-01 00:00:00,2003,0.07746478873239437,0.07746478873239437
36,Transparency,2004-01-01 00:00:00,2004,0.11888111888111888,0.11888111888111888
37,Transparency,2005-01-01 00:00:00,2005,0.09230769230769233,0.09230769230769233
38,Transparency,2006-01-01 00:00:00,2006,0.1,0.1
39,Transparency,2007-01-01 00:00:00,2007,0.09433962264150944,0.09433962264150944
40,Transparency,2008-01-01 00:00:00,2008,0.05555555555555555,0.05555555555555555
41,Transparency,2009-01-01 00:00:00,2009,0.08171206225680934,0.08171206225680934
42,Transparency,2010-01-01 00:00:00,2010,0.10699588477366256,0.10699588477366256
43,Transparency,2011-01-01 00:00:00,2011,0.1111111111111111,0.1111111111111111
44,Transparency,2012-01-01 00:00:00,2012,0.10610079575596817,0.10610079575596817
45,Transparency,2013-01-01 00:00:00,2013,0.09363295880149813,0.09363295880149813
46,Transparency,2014-01-01 00:00:00,2014,0.10408921933085502,0.10408921933085502
47,Transparency,2015-01-01 00:00:00,2015,0.1171875,0.1171875
48,Transparency,2016-01-01 00:00:00,2016,0.138996138996139,0.138996138996139
49,Transparency,2017-01-01 00:00:00,2017,0.14615384615384616,0.14615384615384616
50,Transparency,2018-01-01 00:00:00,2018,0.12890625,0.12890625
51,Transparency,2019-01-01 00:00:00,2019,0.18,0.18
