CountryCodeYear,CountryCode,Conference,Year,Delegates0,Location,LocationCCode,Polity2,TotalC02Emis,CO2PerCap,Population,RegQual,AOSISMembers,EU,TourNumArrivals,GDPpercap,DistanceCCodes,distance,OPECDummy,logpop,logCO2Tot,logCO2percap,logtourarriv,logGDPpercap,ExecIdeology,NoExec,RightExec,LeftExec,UNSC,G20,EnvMinistry,EnvRecipient,EnvDonor,biodiversity,GEFCouncil,envcpia,TotalGDP,IO,EnvTreaty,logGDP,logbiodiversity,logBilaterialAidRecip,logBilaterialAidDonor,envcpia.2,WBEB,HostDummy,Annex1Dummy,CDMDonor,CDMHost,CDMDonorNum,CDMHostNum,GEFFunds,GEFFundsDummy,Annex1Host,NatDiaster,FoodProd,logNatDiaster,GEFDon,logGEFDon
AFG1995,AFG,COP1,1995,0,Berlin,DEU,0,346,0.02,17586073,,0,0,,,AFGDEU,5226.514,0,7.245168872,2.539076099,-1.677780705,,,,,,,0,0,0,,,3.519236061,0,,,31,24,,0.546448399,,,,0,,0,0,0,0,0,0,0,1,0,0.0492797,0,0,0
AFG1996,AFG,COP2,1996,0,Geneva,CHE,-7,327,0.02,18415307,-2.125582695,0,0,,,AFGCHE,5247.043,0,7.265178963,2.514547753,-1.677780705,,,,,,,0,0,0,,,3.519236061,0,,,32,24,,0.546448399,,,,0,,0,0,0,0,0,0,0,1,0,0.0593691,0,0,0
AFG1997,AFG,COP3,1997,0,Kyoto,JPN,-7,304,0.01,19021226,,0,0,,,AFGJPN,6278.016,0,7.279238506,2.482873584,-1.958607315,,,,,,,0,0,0,,,3.519236061,0,,,32,24,,0.546448399,,,,0,,0,0,0,0,0,0,0,1,0,0.071876,0,0,0
AFG1998,AFG,COP4,1998,0,Buenos Aires,ARG,-7,288,0.01,19496836,-2.155505896,0,0,,,AFGARG,15298.5,0,7.289964139,2.459392488,-1.958607315,,,,,,,0,0,0,616598.0625,,3.519236061,0,,,32,24,,0.546448399,5.790002156,,,0,,0,0,0,0,0,0,0,0,0,0.0631809,0,0,0
AFG1999,AFG,COP5,1999,0,Bonn,DEU,-7,227,0.01,19987071,,0,0,,,AFGDEU,5226.514,0,7.300749155,2.356025857,-1.958607315,,,,,,,0,0,0,24843.72656,,3.519236061,0,,,33,24,,0.546448399,4.395216741,,,0,,0,0,0,0,0,0,0,1,0,-0.0118098,0,0,0
AFG2000,AFG,COP6,2000,0,The Hague,NLD,-7,213,0.01,20595360,-2.186197758,0,0,,,AFGNLD,5361.4,0,7.313769388,2.328379603,-1.958607315,,,,,,,0,0,0,,,3.519236061,0,,,33,24,,0.546448399,,,,0,,0,0,0,0,0,0,0,1,2580000,-0.175921,6.411619874,0,0
AFG2001,AFG,COP7,2001,0,Marrakesh,MAR,,176,0.01,21347782,,0,0,,115.3125095,AFGMAR,6811.536,0,7.329352759,2.245512668,-1.958607315,,2.061876424,,,,,0,0,0,543643.375,,3.519236061,0,,2461666315,33,24,9.391229183,0.546448399,5.7353141,,,0,,0,0,0,0,0,0,0,0,0,-0.1062455,0,0,0
AFG2002,AFG,COP8,2002,0,New Delhi,IND,,244,0.01,22202806,-1.873433828,0,0,,185.9592901,AFGIND,1003.893,0,7.346407864,2.387389826,-1.958607315,,2.26941788,-999,1,0,0,0,0,0,4266677.109,,3.519236061,0,,4128818042,32,24,9.615825744,0.546448399,6.630089778,,,0,,0,0,0,0,0,0,0,0,0,0.2161145,0,0,0
AFG2003,AFG,COP9,2003,0,Milan,ITA,,283,0.01,23116142,-1.48789227,0,0,,198.2877991,AFGITA,4935.994,0,7.363915354,2.451786436,-1.958607315,,2.297295992,-999,1,0,0,0,0,0,815368.7554,,3.519236061,0,,4583648922,34,24,9.661211346,0.546448399,5.911354065,,,0,,0,0,0,0,0,0,0,1,0,0.0354457,0,0,0
AFG2004,AFG,COP10,2004,0,Buenos,ARG,,261,0.01,24018682,-1.502772093,0,0,,220.0562878,AFGARG,15298.5,0,7.380549172,2.416640507,-1.958607315,,2.342533782,-999,1,0,0,0,0,0,733301.7461,,3.519236061,0,,5285461999,35,24,9.723082955,0.546448399,5.865282719,,,0,,0,0,0,0,0,1175000,1,0,0,-0.0296931,0,0,0
AFG2005,AFG,COP11,2005,4,Montreal,CAN,,365,0.01,24860855,-1.646192193,0,0,,252.4078925,AFGCAN,10768.89,0,7.395516061,2.562292864,-1.958607315,,2.402102931,-999,1,0,0,0,0,0,643136.7148,,3.519236061,0,,6275076016,40,24,9.797618991,0.546448399,5.808303303,,,0,,0,0,0,0,0,0,0,1,0,0.1038156,0,0,0
AFG2006,AFG,COP12,2006,0,irobe,KEN,,452,0.02,25631282,-1.674109697,0,0,,275.3509718,AFGKEN,5221.581,0,7.408770329,2.655138435,-1.677780705,,2.439886614,-999,1,0,0,0,0,0,9478105.69,,3.519236061,0,3,7057598407,41,24,9.848656942,0.546448399,6.976721547,,6,0,,0,0,0,0,0,0,0,0,1900000,-0.0848088,6.27875383,0,0
