Year,All Countries Mean,All Countries Median ,Annex 1 Mean,Annex 1 Median,Non-Annex 1 Mean,Non-Annex 1 Median
1995,4.42408377,2,11.75,11,2.483443709,1
1996,4.884816754,3,10.4,9,3.42384106,2
1997,7.659685864,4,20.075,8.5,4.370860927,3
1998,7.010471204,3,15.85,10.5,4.668874172,2
1999,7.628272251,4,19,10.5,4.61589404,3
2000,10.89005236,5,27.1,20,6.59602649,4
2001,8.654450262,3,21.2,14.5,5.331125828,3
2002,7.439790576,3,17.65,12.5,4.735099338,2
2003,9.607329843,4,26,15.5,5.264900662,3
2004,11.15183246,3,25,17,7.483443709,3
2005,14.05759162,6,33.175,19.5,8.993377483,5
2006,11.81675393,5,22.525,16,8.98013245,4
2007,17.4921466,8,34.525,28.5,12.98013245,7
2008,19.71204188,7,49.25,34,11.88741722,6
2009,53.70157068,29,93.1,57.5,43.26490066,24
2010,27.14136126,14,36.9,26.5,24.55629139,12
2011,27.51308901,15,32.95,26.5,26.07284768,14
2012,22.2513089,13,28.9,23.5,20.49006623,12
2013,19.89528796,12,34.225,22.5,16.09933775,10
2014,22.61780105,12,29.725,17.5,20.73509934,10
2015,61.93717277,39,71.875,44,59.30463576,38
Grand Total,17.97556719,6,31.48452381,18,14.39703564,5
