"","CountryCode","Year","Polity2","RegQual","AOSISMembers","EU","distance","OPECDummy","logpop","logCO2percap","logtourarriv","logGDPpercap","NoExec","RightExec","LeftExec","UNSC","G20","EnvMinistry","GEFCouncil","IO","EnvTreaty","logbiodiversity","logBilaterialAidRecip","logBilaterialAidDonor","envcpia.2","WBEB","Annex1Dummy","CDMDonor","CDMHost","GEFFundsDummy","FoodProd","logNatDiaster","logGEFDon"
"1","AFG",1995,0,-1.80079968427148,0,0,5226.514,0,7.245168872,-1.677780705,5.40530813698154,2.51483522520996,0,1,1,0,0,0,0,31,24,0.546448399,5.33950218175671,2.86472196154774,7,0,0,0,0,0,0.0492797,0,0
"2","AFG",1996,-7,-2.125582695,0,0,5247.043,0,7.265178963,-1.677780705,4.75290015225092,2.29822304803209,0,0,1,0,0,0,0,32,24,0.546448399,6.42145975095067,1.85798870697277,5,0,0,0,0,0,0.0593691,0,0
"3","AFG",1997,-7,-0.502247598381017,0,0,6278.016,0,7.279238506,-1.958607315,6.20603807280583,2.99045759836427,0,0,1,0,0,0,0,32,24,0.546448399,5.94860226497156,6.50831810633153,7,0,0,0,0,0,0.071876,0,0
"4","AFG",1998,-7,-2.155505896,0,0,15298.5,0,7.289964139,-1.958607315,4.7680742485292,2.36692128116784,0,0,0,0,0,0,0,32,24,0.546448399,5.790002156,2.24735750406562,6,0,0,0,0,0,0.0631809,0,0
"5","AFG",1999,-7,-1.06914555874195,0,0,5226.514,0,7.300749155,-1.958607315,5.74439381473882,3.17224443166854,0,0,1,0,0,0,0,33,24,0.546448399,4.395216741,6.52229312453269,6,0,0,0,0,0,-0.0118098,0,0
"6","AFG",2000,-7,-2.186197758,0,0,5361.4,0,7.313769388,-1.958607315,5.59472009441663,1.82880478027168,0,1,1,0,0,0,0,33,24,0.546448399,4.56870770633071,1.30538870152067,5,0,0,0,0,0,-0.175921,6.411619874,0
"7","AFG",2001,-1,-1.68502988482437,0,0,6811.536,0,7.329352759,-1.958607315,4.69517627009506,2.061876424,0,1,1,0,0,0,0,33,24,0.546448399,5.7353141,5.5455799405056,6,0,0,0,0,0,-0.1062455,0,0
"8","AFG",2002,-5,-1.873433828,0,0,1003.893,0,7.346407864,-1.958607315,4.67233884791425,2.26941788,1,0,0,0,0,0,0,32,24,0.546448399,6.630089778,2.72701432990703,5,0,0,0,0,0,0.2161145,0,0
"9","AFG",2003,-8,-1.48789227,0,0,4935.994,0,7.363915354,-1.958607315,4.86190152211957,2.297295992,1,0,0,0,0,0,0,34,24,0.546448399,5.911354065,4.90239904373184,4,0,0,0,0,0,0.0354457,0,0
"10","AFG",2004,2,-1.502772093,0,0,15298.5,0,7.380549172,-1.958607315,5.21426845798856,2.342533782,1,0,0,0,0,0,0,35,24,0.546448399,5.865282719,6.2315190757283,8,0,0,0,0,1,-0.0296931,0,0
"11","AFG",2005,-5,-1.646192193,0,0,10768.89,0,7.395516061,-1.958607315,4.23050805802137,2.402102931,1,0,0,0,0,0,0,40,24,0.546448399,5.808303303,4.60797497052785,6,0,0,0,0,0,0.1038156,0,0
"12","AFG",2006,-6,-1.674109697,0,0,5221.581,0,7.408770329,-1.677780705,4.87938120325302,2.439886614,1,0,0,0,0,0,0,41,24,0.546448399,6.976721547,4.63998837152727,6,0,0,0,0,0,-0.0848088,6.27875383,0
"13","AFG",2007,2,-1.680980802,0,0,6000.786,0,7.420768143,-1.677780705,5.4602715628572,2.572396512,1,0,0,0,0,0,0,39,21.9971295944293,0.546448399,6.861135052,5.66043235443252,6,0,0,0,0,0,0.1122537,0,0
"14","AFG",2008,3,-1.601079226,0,0,4267.977,0,7.431881344,-1.387216143,6.02950885013201,2.576315423,1,0,0,0,0,0,0,41,35.344074567018,0.546448399,6.452497573,4.76121697017824,6,0,0,0,0,0,-0.080729,5.447159582,0
"15","AFG",2009,-10,-1.6701051,0,0,4857.692,0,7.44260811,-1.148741651,4.92648037081527,2.653848037,1,0,0,0,0,1,0,42,12.6355014453367,0.546448399,7.376500668,5.08718131211617,6,0,0,0,0,0,0.1527052,0,0
"16","AFG",2010,-2,-1.529258132,0,0,13906.07,0,7.45328488,-1.091514981,5.10332398888177,2.74911626,1,0,0,0,0,0,0,44,31.1662835776834,0.546448399,7.65399218,5.87498515854968,6,0,0,0,0,1,-0.0070891,0,0
"17","AFG",2011,-6,-1.539812922,0,0,9273.133,0,7.463974766,-0.954677021,5.17882875511651,2.789611322,1,0,0,0,0,0,0,44,12.41999363085,0.546448399,7.294231019,5.94784068352986,7,0,0,0,0,0,-0.0452352,6.243038297,0
"18","AFG",2012,3,-1.210026264,0,0,1987.925,0,7.474573696,-3,4.96328610215107,2.837953638,1,0,0,0,0,0,0,46,51.3231685942197,0.546448399,6.955472204,7.32373265731814,7,0,0,0,0,1,0.0974197,0,0
"19","AFG",2013,-1,-1.212253332,0,0,4267.977,0,7.501493175,-3,5.01218018837917,2.822693752,1,0,0,0,0,0,0,47,25.5867028143275,0.546448399,6.720976667,7.303685998281,7,0,0,0,0,1,-0.0231261,0,0
"20","AFG",2014,-1,-1.118182182,0,0,15811.19,0,7.515317644,-3,5.4023976400047,2.823664439,1,0,0,0,0,0,0,47.7942269891015,46.0051568297109,0.546448399,7.54989570987854,6.4953280932365,7,0,0,0,0,1,0.0374227,0,3.04331144493396
"21","ALB",1995,5,-0.66838164776278,0,0,1493.096,0,6.526062326,-0.742321425,5.63853409652282,2.881133114,0,1,0,0,0,1,0,75,34,-0.719114896,6.30645909078033,7.00706744679072,9,0,0,0,0,0,0.0764527,0,0
"22","ALB",1996,0,-0.419196784,0,0,1167.984,0,6.523882065,-0.742321425,5.77060720190845,2.978240835,0,1,0,0,0,1,0,38,35,-0.719114896,6.88420843948635,6.25457264720164,8,0,0,0,0,1,0.0104432,0,0
"23","ALB",1997,5,-0.450740345985561,0,0,9501.873,0,6.522615961,-0.850780887,5.06278656920159,2.843603088,0,1,0,0,0,1,0,58,35,-0.719114896,7.29043375326589,6.66546838029482,9,0,0,0,0,1,-0.0581026,0,0
"24","ALB",1998,5,-0.18657735,0,0,11632.19,0,6.521851206,-0.793174124,4.90120703602298,2.940463517,0,0,1,0,0,1,0,55,37,-0.719114896,5.62672654085451,5.48900491379089,6,0,0,0,0,0,0.0314312,0,0
"25","ALB",1999,5,-0.320448398690255,0,0,1493.096,0,6.520868659,-0.583359493,5.20005710917402,3.043261476,0,0,1,0,0,1,0,42,41,-0.719114896,4.404583884,5.38737062275892,8,0,0,0,0,0,-0.0258193,0,0
"26","ALB",2000,5,-0.262941539,0,0,1664.815,0,6.519164631,-0.567030709,5.67866019511363,3.076810132,0,0,1,0,0,1,0,45,41,-0.719114896,4.71317509,6.20387626404341,8,0,0,0,0,1,0.0504107,0,0
"27","ALB",2001,5,-0.350417413560255,0,0,2473.619,0,6.516678661,-0.536107011,6.1898981371256,3.12608565,0,0,1,0,0,1,0,54,43,-0.719114896,4.490930209,6.49659532731937,9,0,0,0,0,0,0.0346727,0,0
"28","ALB",2002,7,-0.250540912,0,0,5322.44,0,6.513696392,-0.480172006,6.10150685230982,3.163855228,0,0,1,0,0,1,0,79,43,-0.719114896,5.54141632,8.83937070106407,8,0,0,0,0,1,0.0045705,0,0
"29","ALB",2003,7,-0.468515098,0,0,611.7626,0,6.510462567,-0.419075024,6.09252014609951,3.26940841,0,0,1,0,0,1,0,43,43,-0.719114896,7.324517234,6.48646494900135,9,0,0,0,0,1,0.0570655,0,0
"30","ALB",2004,7,-0.161306918,0,0,11632.19,0,6.507342642,-0.442492798,5.08349970553986,3.391993967,0,0,1,0,0,1,0,6,44,-0.719114896,6.321391249,7.294177887036,4,0,0,0,0,1,0.0477943,0,0
"31","ALB",2005,9,-0.299623609,0,0,7606.625,0,6.504624436,-0.43062609,6.21756727886561,3.444290328,0,0,1,0,0,1,0,41,46,-0.719114896,6.906736161,7.325997419136,8,0,0,0,0,1,-0.0192122,0,0
"32","ALB",2006,9,-0.094024472,0,0,5045.083,0,6.5023688,-0.480172006,5.14547230561552,3.484551464,0,1,0,0,0,1,0,46,46,-0.719114896,5.784378873,7.63740015918337,9,0,0,0,0,0,0.0424747,0,0
"33","ALB",2007,9,0.069974981,0,0,10212.24,0,6.500541362,-0.407823243,6.026124517,3.556665897,0,1,0,0,0,1,0,36.4553058487129,46.4943935998899,-0.719114896,6.408242868,8.35396187954287,6,0,0,0,0,1,0.014956,1.880813592,0
"34","ALB",2008,9,0.145662919,0,0,1218.313,0,6.499220653,-0.396855627,6.095866453,3.640535092,0,1,0,0,0,1,0,64,75.7846580131969,-0.719114896,6.680279835,10.0045152165608,9,0,0,0,0,0,0.0400586,0,0
"35","ALB",2009,9,0.247665405,0,0,1679.912,0,6.498473901,-0.407823243,6.23325001,3.614278528,0,1,0,0,0,1,0,74,82.5517663699181,-0.719114896,6.404912298,9.84423180097611,8,0,0,0,0,1,0.0401177,0,0
"36","ALB",2010,9,0.232252091,0,0,10807.12,0,6.498330269,-0.419075024,6.340642378,3.612186047,0,1,0,0,0,1,0,60,47.4461916078235,-0.719114896,6.383808584,6.10355577062527,9,0,0,0,1,1,0.0513287,0,0
