"";"from";"year";"PHL";"KWT";"SAU";"EU";"JPN";"AUS";"USA";"CAN";"CHN";"G77";"IND";"ARG";"BRA";"TUV";"NZL";"AfricanGroup";"CHE";"CHL";"AOSIS";"NOR";"VEN";"RUS";"LDCs";"EGY";"MYS";"IRN";"COL";"ZAF";"BOL";"DZA";"periodo"
"1";1;1995;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;"FHC1"
"2";1;1996;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;"FHC1"
"3";1;1997;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;"FHC1"
"4";1;1998;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;"FHC1"
"5";1;1999;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;"FHC2"
"6";1;2000;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;"FHC2"
"7";1;2001;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;"FHC2"
"8";1;2002;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;"FHC2"
"9";1;2003;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;"LULA1"
"10";1;2004;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;"LULA1"
"11";1;2005;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;"LULA1"
"12";1;2006;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;"LULA1"
"13";1;2007;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;"LULA2"
"14";1;2008;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;"LULA2"
"15";1;2009;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;"LULA2"
"16";1;2010;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;"LULA2"
"17";1;2011;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;"DILMA1"
"18";1;2012;9;9;9;4;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;1;9;"DILMA1"
"19";1;2013;4;9;1;1;1;1;1;1;7;1;4;9;4;9;1;1;1;9;1;1;9;9;1;9;9;9;9;1;9;9;"DILMA1"
"20";2;1995;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;"FHC1"
"21";2;1996;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;"FHC1"
