rownum,nome,nome_padrao,nome_padrao_v2,nome_padrao_v1
1,"""""""""""""""""""""""""""""""Lucia Fernanda Inácio Belfort Sales (""""""""""""""""""""""""""""""""Fernanda Kayngáng"""""""""""""""""""""""""""""""")""""""""""""""""""""""""""""""",Lucia Fernanda Inácio Belfort Sales (Fernanda Kaingáng),Lucia Fernanda Inácio Belfort Sales (Fernanda Kaingáng),"""""""""""""""""""""""""""""""Lucia Fernanda Inácio Belfort Sales (""""""""""""""""""""""""""""""""Fernanda Kayngáng"""""""""""""""""""""""""""""""")"""""""""""""""""""""""""""""""
2,A. M. Sampaio Fernandes,Ana Maria Sampaio Fernandes,Ana Maria Sampaio Fernandes,A. M. Sampaio Fernandes
3,A. Ricardo Jacinto Esparta,Adelino Ricardo Jacinto Esparta,Adelino Ricardo Jacinto Esparta,A. Ricardo Jacinto Esparta
4,A.F.M. De Freitas,Arrhenius Fabio Machado de Freitas,A.F.M. De Freitas,A.F.M. De Freitas
6,Abelardo Sérgio Bacelar da Silva,Abelardo Sérgio Bacelar da Silva,Abelardo Sérgio Bacelar da Silva,Abelardo Sérgio Bacelar da Silva
7,Abidias De Sousa Junior,Abidias José de Sousa Júnior,Abidias De Sousa Junior,Abidias De Sousa Junior
8,Abilio Rodrigues Pacheco,Abilio Rodrigues Pacheco,Abilio Rodrigues Pacheco,Abilio Rodrigues Pacheco
9,Abimael Nunes,Abimael Nunes,Abimael Nunes,Abimael Nunes
10,Acir Gurgacz,Acir Gurgacz,Acir Gurgacz,Acir Gurgacz
11,Ada Carvalho De Oliveira,Ada Carvalho de Oliveira,Ada Carvalho De Oliveira,Ada Carvalho De Oliveira
12,Adailton Leite,Adailton Leite,Adailton Leite,Adailton Leite
13,Adair Antônio Meira,Adair Antônio Meira,Adair Antônio Meira,Adair Antônio Meira
14,Adalberto Alencar,Adalberto Alencar,Adalberto Alencar,Adalberto Alencar
15,Adalberto Luis Val,Adalberto Luis Val,Adalberto Luis Val,Adalberto Luis Val
16,Adeilson Ribeiro Telles,Adeilson Ribeiro Telles,Adeilson Ribeiro Telles,Adeilson Ribeiro Telles
17,Adelaide De Fátima Gonçalves de Oliveira,Adelaide de Fátima Gonçalves de Oliveira,Adelaide De Fátima Gonçalves de Oliveira,Adelaide De Fátima Gonçalves de Oliveira
18,Adelino Ricardo J. Esparta,Adelino Ricardo Jacinto Esparta,Adelino Ricardo Jacinto Esparta,Adelino Ricardo Jacinto Esparta
19,Adelino Ricardo Jacinto Esparta,Adelino Ricardo Jacinto Esparta,Adelino Ricardo Jacinto Esparta,Adelino Ricardo Jacinto Esparta
20,Adelmar de Miranda Torres,Adelmar de Miranda Torres,Adelmar de Miranda Torres,Adelmar de Miranda Torres
21,Adelmo Emerenciano,Adelmo Emerenciano,Adelmo Emerenciano,Adelmo Emerenciano
22,Ademar Seabra da Cruz Junior,Ademar Seabra da Cruz Junior,Ademar Seabra da Cruz Junior,Ademar Seabra da Cruz Junior
23,Ademar Traiano,Ademar Traiano,Ademar Traiano,Ademar Traiano
24,Ademilson Zamboni,Ademilson Zamboni,Ademilson Zamboni,Ademilson Zamboni
