titulo;nome;desc;cargo_deleg;org;org_detalhe;cargo_org;conf;pais;nline;fonte;id_org_dupla
Ms.;Virginia Bernardes de Souza;NA;NA;NA;NA;NA;Ad Hoc Working Group of Legal and Technical Experts for the Preparation of a Protocol on Chlorofluorocarbons to the Vienna Convention for the Protection of the Ozone Layer, Session 02;Brasil;1;Lista ONU;24
Mr.;Carlos Augusto Rollemberg de Resende;Head of the Environment Division I, Ministry of Foreign Affairs, Brasilia;Representative;MRE;DEMA-I;Chefe de divisão;ITTC, 57;Brasil;1;Lista ONU;3290
Mr.;Fernando A.W. Cavalcanti Júnior;Head of the Foreign Policy Sector, Embassy of Brazil, Tokyo;Alternate representative;MRE;"Embaixada do Brasil em Tóquio; Setor de Política Externa";Chefe;ITTC, 57;Brasil;2;Lista ONU;3291
Mr.;Angelo Paulo Sales dos Santos;Third Secretary in the Environment Division I, Ministry of Foreign Affairs, Brasilia;Alternate representative;MRE;DEMA-I;Terceiro secretário;ITTC, 57;Brasil;3;Lista ONU;3290
Mr.;Humberto Navarro de Mesquita Juniro;Director of Forestry Development, Brazilian Forest Service <U+0096> Ministry of Agriculture, Livestock, and Supply, Brasilia;Advisor;Serviço Florestal Brasileiro;Desenvolvimento Florestal;Diretor;ITTC, 57;Brasil;4;Lista ONU;3292
Sr;R Valentino Sobrinho;NA;NA;NA;NA;NA;LDC, 01;Brasil;1;Lista ONU;24
Captain of Frigate;Castro Moreira da Silva;Brazilian Navy;NA;Marinha do Brasil;NA;NA;UNESCO IOC, A01;Brasil;1;Lista ONU;3058
Dr.;M. Vannucci;National Research Council;NA;CNPq;NA;NA;UNESCO IOC, A01;Brasil;2;Lista ONU;3008
Cmdt.;Paulo de Castro Moreira da Silva;"Directoria de Hidrografia e Navegação
Ministério da Marinha";Delegate;Ministério da Marinha;Diretoria de Hidrografia e Navegação;NA;UNESCO IOC, A02;Brasil;1;Lista ONU;3293
Capt.;Paulo de Castro Moreira da Silva;"Diretoria de Hidrografia e Navegação
Ministério da Marinha";Head of delegation;Ministério da Marinha;Diretoria de Hidrografia e Navegação;Capitão;UNESCO IOC, A03;Brasil;1;Lista ONU;3293
L. Cdr.;Alvaro Paim Filho;Departamento de Geofísica, Diretoria de Hidrografia e Navegação;Delegate;Ministério da Marinha;"Diretoria de Hidrografia e Navegação; Departamento de Geofísica";Lieutenant Commander;UNESCO IOC, A03;Brasil;2;Lista ONU;3294
Captain of Frigate;Paulo de Castro Moreira da Silva;"Directoria de Hidrografia e Navegação
Ministério da Marinha";Head of delegation;Ministério da Marinha;Diretoria de Hidrografia e Navegação;Captain of Frigate;UNESCO IOC, A04;Brasil;1;Lista ONU;3293
Captain;Paulo de Castro Moreira da Silva;"Instituto de Pesquisas da Marinha
Ministério da Marinha";Head of delegation;Ministério da Marinha;Instituto de Pesquisas da Marinha;Capitão;UNESCO IOC, A05;Brasil;1;Lista ONU;3295
Captain;L. P. Costa Fernandes;"Diretoria de Hidrografia e Navegação
Ministério da Marinha";NA;Ministério da Marinha;Diretoria de Hidrografia e Navegação;Capitão;UNESCO IOC, A05;Brasil;2;Lista ONU;3293
Commander;Dimas Lopes da Silva Coelho;"Diretoria de Hidrografia e Navegação
Ministério da Marinha";NA;Ministério da Marinha;Diretoria de Hidrografia e Navegação;Comandante;UNESCO IOC, A05;Brasil;3;Lista ONU;3293
Capt.;Orlando Augusto Amaral Affonso;"Diretoria de Hidrografia e Navegação
Ministério da Marinha";Chefe da delegação;Ministério da Marinha;Diretoria de Hidrografia e Navegação;Capitão;UNESCO IOC, A06;Brasil;1;Lista ONU;3293
